Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
" TRACY WATSON LOCAL FOOD BANK FUNDING ","Glasgow, Scotland, United Kingdom",https://uk.gofundme.com/f/2f7s0aqxe0,1000,40,2021-06-25,2021-06-23,,,5,"2021-06-25 10/2021-06-24 5/2021-06-24 10/2021-06-24 10/2021-06-23 5","Guys as we all know at some point in life we all fall upon hard times and struggle to find the means to put the next meal on the table and sit worrying about it over the last couple of weeks myself and a few others have come across a lovely lady Tracy who helps families all year round day in and day out to make sure they have food for their families she is struggling herself but yet still going above and beyond to make sure people have food to eat now we’re stepping in to help get her the funding this lady deserves she serves pensioners daily with meals to make sure they’ve ate and always puts others before herself as I said the lady doesn’t have much herself but yet is doing her best to keep things stocked up as much as she can with as little as she can anything would help as we all know you can buy a meal for as little £1 if you really needed to make something last but if we raise enough funds Tracy will have enough to make sure her food bank is stocked up all year around to make sure there are no hungry children or families out there sitting with nothing   If you need this validated you can look Tracy up in the local newspaper she has been validated by it for helping out with these things for years   Thanks     ",False
" Thank you High Peak Food Bank and Zink Project ","Buxton, East Midlands, United Kingdom",https://uk.gofundme.com/f/thank-you-high-peak-food-bank-and-zink-project,500,30,2021-06-24,2021-06-22,"THE ZINK PROJECT CIO","Registered charityDonations eligible for Gift Aid.",2,"2021-06-24 10/2021-06-22 20","I first came in to contact with Zink in September last year. Having had a mental breakdown and suicide attempt I was struggling mentally and financially. I went to the food bank and while there I had a mini breakdown. This is when I met [Zink Advice Worker] Julie. Julie was extremely easy to talk to and quickly gained my trust to be able to talk to her. She helped me sort through piles of paperwork  speaking to people about bills and debts  getting me to speak to the right people to help me and being there when I just needed to talk. Since September I have been diagnosed with autism and the biggest problem I had was a debt to my landlord of over £4000 for which they had an eviction order. Julie was instrumental in helping me get a court hearing where the eviction was suspended. Julie's knowledge was brilliant and made we aware of funds/benefits available to me and because of this in under nine months I have been able to pay off (through myself and funds) the entire arrears and have the eviction set aside. For the first few months I was also reliant on the food bank side while my money git sorted.  I cannot thank Julie (and Zink and high peak food bank) enough for the last nine months. Without her and them I certainly wouldn't be in as good a position as I am now - mentally  financially and emotionally.   I want to give back and as I am not working I don't have the means to give what I want.   This is my thank you. Please help me so that they can continue to help people back on their feet the way they have helped me.   In addition to this I have had some lovely people on here and B and Q donate materials for making a mosaic and Buxton Woodwork  Buxton building supplies and Markovitz have all donated enough materials for me to make around six bird tables and several bird boxes. These will be being sold and auctioned off by Zink/food bank for some more money for them.   Thank you in advance as I say thanks to them",False
" Community Kiddies Meal & Food Banking","London, Greater London, United Kingdom",https://uk.gofundme.com/f/2dbc93x37c,300000,55,2021-06-06,2021-05-10,,,1,"2021-06-06 55","My initiative : Kiddies Snack meals & Food Bank Community initiative is aimed at tackling child hunger  food poverty and global clean water in response to the Covid-19 pandemic.   As a local carer champion in the borough of Lewisham  London United Kingdom  In partnership with Grillaz BBQ Bistro Cafe LoungeU.K LTD and AFE Global Development Foundation who during the pandemic made and distributed meals to communities in partnership with local Chefs to ensure children and families were fed during lockdown.   Our joint mandate shall be to raise awareness through advocacy to fight food poverty and providing potable drinking water to children and families with a warm hot meals  raw and water to ensure no child or family goes or to bed hungry as part of our sustainable development goal.   Following the success of the goodwill during the height of the pandemic last year  I am hoping to team up with community local champions in various boroughs to fight poverty through this initiative.   We are raising money to secure a central fulfilment centre so that we can centralise our efforts in reaching and providing out services daily.    We want to secure a space to not only cook and provide our meals but also provide a safe space where children can come and eat a warm meal and receive support and advice about life  from education to well being support.   What we need?  With lockdown easing and support for families also easing we want to ensure that families do not face the fear of not being able to feed their children.   To ensure that we can reach as many children and families as possible we need a permanent fulfilment centre where all our operations  services and activities can be centralised. ",False
" Mid Essex Food Support ","Danbury, East of England, United Kingdom",https://uk.gofundme.com/f/4ugph,500,60,2021-06-07,2021-05-09,,,2,"2021-06-07 50/2021-06-07 10","This is a non profit organisation  we run purely on food donations and donations through our go fund me page.   Hello my name is Hayley The last few months along side my wonderful volunteers we have been collecting and distributing food parcels in Chelmsford Maldon wickford  billericay  witham  brentwood heybridge and Danbury in Essex. I also offer advise and help for people further away to get the help they need with food parcels  clothing and every day essentials. I have come to realise not not everyone has access to a vehicle and I do  so I have been able to help people in need such as the elderly who are isolating families who can't get to food banks  people and families who are struggling with there benefits and making ends meet. The delivery service is also a door opening to engage in the lonely and vulnerable in the community  also people who want to donate food but have no way of delivering to a food bank. This is a private group and confidentiality means everything if you do not wish to post and ask for help on this page then please inbox me and I will help the best I can. all food and other essentials are currently need for donation which I can pick up. Things needed include *Tinned food and cupboard soup beans custard rice pudding vegetables spaghetti hoops tuna chic pea's fruit Sugar Tea Coffee Bread Rolls *grains pasta rice lentils *cereals all kinds *long life milk *treats Biscuits sweets *Toiletries Toothpaste Soap Shower gel Toilet paper Deodorant *Household items Washing powder/liquid Cleaning materials ",False
" Help raise money for a double freezer ","Newport, West Midlands, United Kingdom",https://uk.gofundme.com/f/help-raise-money-for-a-double-freezer,300,15,2021-06-15,2021-06-11,,,2,"2021-06-15 5/2021-06-12 10","So today I had my local food bank come round to me and tell me that there freezer has packed up and they help loads of people who can't afford food and i would like to help them by getting a new double freezer. With the old freezer they have had to chuck loads of food away so please guys let's help others ",False
" Help me have a life. ","Norwich, East of England, United Kingdom",https://uk.gofundme.com/f/help-andy-get-a-wheelchair,0,10000,,2021-05-27,,,0,,"4 years ago I was struck down with a very rare illness. Its a form or autoimmune arthritis that has destroyed my body and left me disabled literally overnight. It continues to destroy my joints every day but thanks to medication it has been slowed down a bit. Then  last year  to make matters worse  I caught a form of coronovirus that put me in hospital for 2 months. I spent 3 weeks in a coma on a lung bypass machine. I very nearly died and at more than one occasion my wife was told to prepare for the worst and was told that I had about a 10% chance of survival. I lived but I have been left with severe lung damage. I have lost about 40% of my lung function and now require oxygen constantly.   So now I need a wheelchair to go anywhere that requires walking a distance and oxygen too.   I have been left with other side effects of the coronovirus and the arthritis causes a lot more issues than just my joints but it would take an age to list them all and describe them too so I will just say that I am f*#*Ed.   I have a wife  3 boys and a granddaughter and I'm only 45 so it's like my life has been taken away from me far too soon as I miss out on so much. I can't have a kick around with my son  I struggle with chess. I can't teach my youngest how to ride his bike. My life really sucks. Life on the pittance of benefits we get is terrible. Food banks help and there are many other groups out there that help out too but we never have any money to be able to have any decent standard of life. So please put your hand in your pocket and help me and my family out. Help me out so I can get a decent  working wheelchair. Help us out so that maybe we could have a dream family holiday. Help us out so we can get our house decorated. Jobs that I was going to do but now I can't. Help us out so we can get our garden sorted out. The list goes on and on of things I wanted to do but can't anymore. Please just help us out. ",True
" Help us get out of debt ","New Milton, South East England, United Kingdom",https://uk.gofundme.com/f/2cho5xq8lc,0,500,,2021-04-19,,,0,,"Been struggling for a while now  this is possibly my last resort. I live with my partner and our 3 year old daughter  We can’t afford even to go food shopping and are relying on weekly hand outs from the local food bank to get by.     Paying bills is mounting the debt higher and higher and just need a bit of a head start to get us on a higher and dryer path!     We’re currently living in a flat with damp conditions and black mould as we couldn’t afford to put the heating on over winter!     Landlord says it’s our responsibility to get rid of the mould and redecorate but we cannot afford to buy paint etc!       Please help! We are eternally grateful for any help!   Thank you.",True
" Just want to Manage ","Southampton, South East England, United Kingdom",https://uk.gofundme.com/f/just-want-to-manage,0,1000,,2021-04-14,,,0,,"Hi everyone Thank you for taking the time to read my story. Like many I've had a tough life but more so my boys have had a really tough life. They have been through domestic violence  constant moving and poverty. Up until July 2019 I was working as an operations manager and medic for a private ambulance company but due to mental health issues I had to leave. Since then both my boys and my partner have lost their jobs due to covid. I currently have a Notice of possession from my housing for rent arrears. We are going to food banks every week. I suffer with anxiety  depression and high blood pressure. I had a Tia (mini stroke) in November 2018 and am currently going through tests to confirm if I have fibromyalgia due to being in pain everyday. My family have helped as much as they can  my partner (who has just been diagnosed with Copd) and my boys help and support me mentally and physically  my boys are my life  my eldest hs depression and my other has ADHD/Aspergus. I just want them to feel safe and secure for once in their lives. I have begged and pleaded borrowed more than I can pay back  sold anything and everything I physically can and now have bailiffs at my door. I know there are people in much worse situations than we are but I'm at a point of desperation and thought  why not  everyone else does it  you never know.....just want to be able to pay my rent this month Thanks for reading guys xx ",True
" MY PARTNER NEARLY DIED BECAUSE OF COVID-19 ","Stevenage, East of England, United Kingdom",https://uk.gofundme.com/f/please-help-the-kellyguerrini-family,0,1000,,2021-04-06,,,0,,"Hello everyone 4 months back my partner contracted covid-19 at work while doing a job that she loves. Lisa got very unwell and found her almost unconscious sitting on the sofa I phoned 999 she then was in hospital ICU nearly dying twice. I took both calls then trying to keep my composure I had to inform her mother and son who lives with his father in Watford. Lisa pulled through but can't work because of breathing problems and serious fatigue. I lost my job because covid-19 ruined a company that I worked for i have sent 200 applications out and not one back yet. Our rent is overdue our food stores are that low even food banks dont give enough bless them for everything they do for people like us.   Approaching Benefits they offered us £87 a month but later said we couldn't get any benefit.   The £500 payment for anyone who catches covid-19 was refused which left us so far in the red we couldn't even afford my wife's medication at one point someone we know helped us pay a months rent.   Please there must be someone out there who is in a position to help us I'm not trying to steal I'm only asking for some help to get back on my feet.     ",True
" Ability to travel to work ","Sedbergh, North West England, United Kingdom",https://uk.gofundme.com/f/ability-to-travel-to-work,0,3000,,2021-04-03,,,0,,"(photo includes a random 3 door astra from Google images) I'm here desperate  I'm in need of a car  tax and insurance cover. So I'll be able to get a job. Enabling me to provide for my daughter  myself and give back to the community that has helped me so far with food banks etc. Around 2 years ago my life fell apart due to my mental health and it cost me my job  my family  my home. I ended up living in my car. During this time whilst living in my vehicle  on my way to a quiet spot to sleep after a couple of cans at a friend's house I was pulled over and breathalysed  the legal limit is 35  I blew a 38. I was arrested  charged and convicted and as a result I lost my licence. It was the lowest I've ever been and I nearly took my own life. Fast forward 18 months. I have my own flat in a lovely little village  I have my daughter weekly 3-5 days a week depending  and I have a licence again. My only issue is I can't find a job. See public transport does not exist from my village to the closest town of Kendal (11miles) where all the jobs are. I have looked for local jobs for the last 12 months but to no avail. I'm working with an organisation called 'Work and Health Programme' and they can line up interviews with companies in Kendal and I'm basically guaranteed a job as they work closely with said employers. I just can not get to any interviews  or shifts when offered the job. It's a catch 22  I can't get a car without a job  but I can't get a job without a car. Not just that but as I've just come off the back of a ban  as you can imagine my insurance is sky high. Like £2k for 1-1.4l. I am literally clutching at straws here  this is the last thing I can think of. I've asked for help off the government (job center) they flat out refused to help me. My family is small and non are in a position that could help me. I'm just stuck. As I mentioned the funds will go towards a well running car  tax  insurance and home delivery due to my inability to travel. I will be able to use this to start working again and stop being dependent on the government and community handouts. I would be eternally grateful and I just know it will mean everything for my little girl too as I will be able to see her everyday as I'll be able to drive over for tea and stuff. If I reach my goal and I'm able to go ahead  I will post videos and photos  I will also use my free time to volunteer in my local community by providing lifts to appointments and collecting shopping etc for those who can not. I will also create a page on Facebook so all who donate can follow updates. All monies received above my target will be donated to local support charaties too. Thank you so much for reading this and your consideration. ",True
