Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
"Protective Equipment (PPE) for Lebanon Frontliners","London, Greater London, United Kingdom",https://uk.gofundme.com/f/protective-equipment-for-lebanon,4444,-1,,2020-08-11,,,0,,"On August 4 2020  a massive explosion rocked Lebanon's capital city  Beirut  to its core. At least 220 people have lost their lives  7000 are injured  300 000 are homeless  and hundreds are still missing. This explosion is only the latest disaster wrought on the Lebanese people by its corrupt and careless government. But the Lebanese are fighting back  as they have done since the start of the October 2019 revolution: they are fighting to end the rule of oligarchs  they are fighting for equality  they are fighting to rebuild their city and their country  and they need your help.     We are raising funds to enable the purchase and supply protective equipment to volunteers and protestors alike on the ground in Beirut. In the direct aftermath of the blast  Lebanese citizens mobilised and took to cleaning the city themselves  without any centralised state support. A city-wide initiative such as this requires adequate PPE (in some areas like Gemmayze and Mar Mkhael  the hardest hit in the city  rubble from demolished buildings still falls on the streets).     At the same time  these volunteers and activists are often the target of police brutality. The Lebanese government has today announced a state of emergency  giving the army sweeping powers to impose curfews  disperse crowds  and much more. Civilians are now at heightened risk  becoming increasingly targeted by army and police forces alike. Not only have the police and army not lifted a finger to aid in the cleaning  rescue and relief initiatives  they are also actively impeding the efforts of the Lebanese citizens who are doing this work. From intimidation tactics to outright aggression (countless journalists have documented the use of force by the army and police against activists)  excessive violence against Lebanese citizens doesn't seem to stop. It is our duty to enable them to protect themselves  as they protect the nation's future.     -----    All raised funds will be transferred to NGOs on the ground who will purchase helmets  protective gloves  face masks  goggles and shields and make them available to the activists on the ground.    The estimate costs are:     $10 Helmet   $10 Goggles & Gloves Combined  $25 Face Mask  $25 Shields     At a cost of $70 per person per full gear  we estimate to be able to support approximately 277 frontliners.",False
"A Tribute In Memory Of Streetcat Bob","Carshalton, Greater London, United Kingdom",https://uk.gofundme.com/f/Streetcatbobmemorial,100000,114720,,2020-06-15,,,0,,"My name is James Bowen and I am the author of the Streetcat Bob series of books  my little soulmate has recently passed the rainbow bridge and I don’t ever want to forget him Since 2007 i was privileged to have Streetcat Bob as part of my life and change it for the best  i can never express my gratitude to him for what he did for me but i want to try my best  so i am starting this campaign in hopes of raising funds which I will in turn use to promote more awareness to his legacy and maybe just maybe to make a permanent statue to honour him forever! Im not quite sure what else to say here except that if you know him you know what this is in aid of and i hope you will help to keep that light from his soul to glow on us all one more night in these dark days. With the funds raised I plan to try and get public space for the statue and also to pay for any costs incurred for Bobs remembrance service  also I want to build a memorial garden. I also have two long term goals which I am now going to pursue in his honour which are to Start a trust or Foundation for those who have no voice  wether human or animal I want to be able to pay forward and help however I can. my other project will be about making a documentary series where each episode I will travel to a different city and sleep rough with the local homeless and explore how different societies view homelessness and how their respective governments try to deal with it in an effort to educate myself and the viewer about the realities of being out there in the world with no roof or hope. Bob has inspired me and I know many of you  so I feel this will be something you can all get behind and help to make real  I want to finally point out that I do not plan to use any of this money for myself except to cover the expenses of the projects and memorial funds  I have no need of it personally but I wanted the public to feel they are a part of Bobs legacy!! We hit £100.000 - This has blown me away  thank you all so much for your support  everything that comes in from now will be put towards the Trust on top of the funds left after we calculate the cost of his memorial and the documentary!! Also if you want to keep up to date with what I am doing then you can follow Bandit & Gizmo (Brothers of Bob) on Instagram & Facebook. I will be having a memorial service in June 2021 for the 1st anniversary of Bobs passing and will keep everyone posted for the details so you can all attend if you can!! Thank you James Bowen",False
"Gamtalk on the streets.","Port Glasgow, Scotland, United Kingdom",https://uk.gofundme.com/f/gamtalk-on-the-streets,2500,2165,,2020-09-29,,,0,,"My name is Paul Pettigrew  I am 24 and I own Gamtalk.  I will be sleeping rough on the streets of Edinburgh and Glasgow from Monday 12th October to Friday 16th October 2020.The aim of this mission  is to raise money to help addiction services  homeless services and to help Gamtalk to grow and reach more young people with my work.  I will document my journey and post it to my Instagram account dedicated to Gamtalk during  and after I am done.  Please help me  to help them.  Thank you. ",False
"Help our River Pirate","Lincoln, East Midlands, United Kingdom",https://uk.gofundme.com/f/help-our-river-pirate,1460,-1,,2020-08-21,,,0,,"As you may or may not know  our friend Kane was recently involved in an incident  which has led to the loss of an eye. As if that wasn’t bad enough  he is now in danger of having his boat confiscated by the canal and river trust  over the non-payment of licence fees.     Let’s not dwell on why these fees weren’t paid  but the fact that this young man  who has recently lost an eye and his job as a result  is about to loose his home too. I can’t even begin to imagine what he is going through right now  but he definitely does not deserve to be homeless too. Join us in helping to raise the funds to prevent this from happening  and to help Kane keep his home. In these difficult times we’re all facing  we need to be there for each other and to help out as much as we possibly can.    Any money raised through this will go towards paying the license fees  and any additional funds will go towards potentially obtaining a permanent mooring  to make this difficult time slightly easier for him as he is struggling to adjust to sailing his boat with only one eye. ",False
"Support Faith during Covid-19 lockdown","Hickling, East of England, United Kingdom",https://uk.gofundme.com/f/support-faith-during-covid19-lockdown,15000,16012,,2020-03-29,"FAITH Animal Rescue","Registered nonprofitDonations eligible for Gift Aid.",0,,"Its our 26th year at Faith Animal Rescue  after our lovely celebration of this in February who new how quickly the world would change with the emergence of the Corona Virus and all the lock-downs that have happened.     This is hitting us hard at Faith  we still have all the animals to care for and are still trying to rescue more animals in the safest way possible. They can't help being in need and though we have implemented tight measures at the rescue to prevent the spread of the virus so that we can continue to look after the animals in our care and the ones that constantly need us  we are struggling financially because of this.     We are missing getting the animals re-homed and all the donations that come from this and from all the visitors that come to our rescue and shop. We still need to fund the running of the rescue  pay for the skeleton staff as we cant allow volunteers on site  feed  train and clean the animals and keep their lives enriched so that when we can open the doors again they are ready to find their forever homes.     Please  please find it in your heart to continue to support our work here caring for and rehabilitating the animals in our care during this troubled time by donating whatever you can so support us. We do realise its difficult in these uncertain times and cant tell you enough how much we all appreciate your support because of this.     More information about FAITH Animal Rescue:     Please watch the following short video that highlights what we do and why.        To provide a rescue  rehabilitation and re-homing service for abandoned  ill-treated  un-wanted and otherwise homeless animals. To care for them in social accommodation  wherever possible with communal exercise areas. To strive to reduce the number of unwanted and abandoned cats and dogs by ensuring those in our care are neutered  and encouraging other owners to do the same.",False
"King of Merch in crisis","Brentwood, East of England, United Kingdom",https://uk.gofundme.com/f/king-of-merch-in-crisis,500,943,,2020-10-03,,,0,,"I've got a friend. His name is Chris Brown  but around the London music scene everyone knows him as the King of Merch. For years  maybe decades  Chris has been helping bands and artists in London and all over the country by running their merch stands  taking no payment or profit for himself. Chris does this because he loves live music  especially punk and folk punk and because he is a selfless human being who just loves the scene. If you have been to small punk gig in London and bought merch  chances are Chris sold it to you. Everywhere I go everyone knows Chris.    Now Chris is having a crisis. For personal reasons Chris is having to move out of his home  but with limited funds his ability to find alternative accommodation is very restricted to non-existent. Almost as soon as this happened he then received some catastrophic personal news that has left him on his knees. If you know Chris you know the story  but if you don't then suffice to say he has suddenly found himself about to be homeless  with nothing but ten quid in the bank  no homely possessions and nowhere to go.    I know that everyone that knows Chris would buy him a pint. If all the bands he has worked with  all the fans that know him and all the people he has helped over the years gave £5 (London pint prices!) then we'd help a brother in dire need. Help him to get a roof over his head and the basic necessities of life like a kettle  cutlery  plates and cups  a chair or sofa to sit on  while he rebuilds his life.    Chris needs our help right now. I know it's a difficult time for everyone  especially in the music scene. Chris has helped 100s of people  now it's time he got a little of that help back from us.",False
"Laptop for Marcus (an activist and organiser)","London, Greater London, United Kingdom",https://uk.gofundme.com/f/laptop-for-black-queer-community-activist,1419,-1,,2020-08-20,,,0,,"My partner Marcus has been an activist for over a decade  the work he has done has been foundational to establishing DIY spaces  community centres and activist collectives in London and Australia and he’s helped to fundraise over 100 thousand pounds this summer alone for vulnerable people amidst the covid 19 pandemic. He regularly volunteers driving food to NHS workers and to an LGBTQI homeless shelter. He’s part of groups that are effectively organising around land reparations  herbal medicine for prisoners  black and Brown music festivals and Prison abolition. I say all this to preface the fact that Marcus has not had his own laptop/computer/working tablet or anything like that in 5 years and we have not been able to afford to buy him a new one  we are both working class queers from south London and hoping people will help us out here. Obviously I’m gonna put what I can towards it but if any one wants to help us out that would be incredibly kind of you.    Thank you for considering donating  love  rage  power and peace to all who do",False
"Covid19 Emergency Relief for Homeless in London","London, Greater London, United Kingdom",https://uk.gofundme.com/f/underonesky-homelessaid2020,175000,178893,,2019-11-09,,,0,,"On 2 April we launched an emergency initiative after meeting homeless people who hadn't eaten for days due to the Covid19 lock down. For 120 days our team served up to 500 homeless daily with food  hot drinks  mobile phones  socks  underwear and conversations. By 1 August we had served our homeless friends 37 172 times.    Our commitment on 2 April was to serve daily until the end of the lock down when regular homeless support facilities would reopen. We delivered on this commitment.    Our street support activities continue and any donation will support those. We have operated since 2012.    Under One Sky is a collective of private individuals. Nobody is employed by Under One Sky. Our work is 100% volunteer based.    There was a need to move so quickly we didn't have the resource to launch a new fund raising campaign for our Covid19 emergency initiative. Instead we decided to use our winter fund raising page. The text below is from that campaign.    ---------------------------    Since 2012 Under One Sky has supported more than 3000 people living on the streets of London. Over the coming winter months  we hope to reach another 1000 homeless during our night walks.     Our work is inspiring others to join the Under One Sky family with events being planned in Cambridge (UK)  Madrid  and Boston (US).    In the last 12 months 9000 slept rough in London - an increase of 18%. Deaths among homeless in England and Wales increased by 22% to 726 in the same period.    Under One Sky is a 100% volunteer run collective of 450 passionate people with full-time jobs and families. At our most recent events  more than 10% of volunteers were children and teenagers. Our founding principle is that humanity is ONE family regardless of nationality  race  religion  class or any other label.    On cold winter nights we meet the homeless in a spirit of compassion and with a genuine desire to connect. To make them feel they belong in this world just as much as anyone else. Letting them know they have not been forgotten.    We distribute life support packages: food  clothing  toiletries  sleeping bags  gift cards  books  and messages of hope and light for those living in some dark times in their lives. The gift cards can be used to buy tents  winter clothing  or other necessities – they are a life saver. Our mantra: “For a better tomorrow  you must survive today”.    We are completely reliant on private funds  and every penny we raise goes directly to the homeless people we serve. Your donation will be used to buy gift cards and supplies.    You Will Make A Difference    We can’t wait to bring your donation to those who are fighting every day to simply stay alive. Our first winter event this year will take place on the night of Saturday 14th December where we will support at least 250 homeless people.    If you are not able to donate  then we would love for you to share our campaign using the “Share” button (below the “Donate Now” button) or using this link: www.gofundme.com/f/underonesky-homelessaid2020    It is also possible to support by donating sleeping bags using our Amazon Wish list    Finally  you are welcome to send us a message for us to share with the homeless – simply contact us on this page.    To learn more about the potential impact of your support…read below about:    - Two homeless men we helped get off the streets and into jobs recently    - Our aim to raise awareness about the realities of homelessness    - Our ""Very Important Homeless Person"" entertainment events launching in 2020     “At least we are under the same sky – you and I.” Ranata Suzuki    Campaign Team    Under One Sky helps bring a voice to the homeless  when often it feels as though nobody is listening. By telling their stories we hope to raise awareness to the realities about what being homeless truly means. We aim to educate and inspire more people to reach out and take action.    In early 2020 we will launch our first Very Important Homeless Person (VIHP) event. An afternoon of food and entertainment (music  talks  comedy) exclusively for the homeless – a moment to feel “normal”. We have support from a major music company who will help source artists  and a UK comedy streaming platform.    The real impact your support can have….    Last year  our Embankment team met Robert  who to their surprise was working for UberEats despite sleeping on the streets. He used our £30 gift card to buy a mobile charger for his bicycle so he would no longer lose out on income when charging his phone. The team were so impressed with Robert that we looked for other ways to support him. One afternoon we told his story on Facebook with a call out for job opportunities and housing. In a few hours he had four job interviews and two people offering him free temporary housing. Robert moved in the next day and had a job a week later. We also sponsored him so he could visit his mother who was diagnosed with cancer.    Two years ago  our Oxford Street team met a young homeless man named Singh and changed his life immediately. With their encouragement and a £30 gift card he bought a mobile phone and contacted his family. Our team were also able to arrange a job interview. Within six days Singh had a flat and a job. One year later he joined the same Oxford Street team that had helped him  to support other homeless people. Since then  Singh has been promoted twice at work  and is now saving up to buy a property.    We have heard many heart-breaking street stories over the years but often told by people with immense life spark. We have brought many smiles  hugs  and lifesaving supplies to those same people and we hope to bring many more this winter with your help.    Supporters    ",False
"Andrew Burleigh Memorial Bench In Regents Park","London, Greater London, United Kingdom",https://uk.gofundme.com/f/andrew-burleigh-memorial-bench-in-regents-park,7500,5229,,2020-09-30,,,0,,"Andrew is going to be greatly missed  he’s touched so many peoples lives  brining laughter and joy into our lives. He had the most beautiful energy  he brought excitement and laughter to where ever he went. Andrew has left such a deep void  there is no other like him.    When not in soho being the social butterfly  Andrew spent a lot of his time in Regent’s Park. Andrew loved to be with nature  to reflect on life  to remind himself on what’s important in life and how every day should be celebrated. Andrew studied horticulture at Capel Manor College in Regents Park some years ago  this was a special moment in Andrews life  which he would often talk about.    Andrew had a special connection to Regents Park and we would love for Andrew to remembered with a Memorial Bench in one of his favourite places but understand that this high amount to achieve  the price is predetermined by Royal Parks  includes the cost of the Bench  long term maintenance and a charity donation to the royal parks. There is backup plan depending on how much is raised we may also look at a Bench in Westminster Parks  planting a tree or donating to a LGBT Homeless Charity  any support in reaching our goal would be greatly appreciated.",False
"Let's end rough sleeping in London","London, Greater London, United Kingdom",https://uk.gofundme.com/f/endroughsleeping,100000,85308,,2019-12-10,,,0,,"Donate today - help make sure no-one needs to sleep rough in London again.    We’ve all seen people sleeping rough near where we live and work. Rough sleeping has more than doubled in London since 2010. During the past year alone  almost 9 000 people were seen sleeping out on London’s streets.    Welfare changes  soaring housing costs  and a shortage of affordable accommodation mean that more and more people are left with nowhere they can call home. The London Homeless Collective (29 charities with decades of experience in tackling homelessness) are working with the Mayor of London and local councils to provide services to help people rough sleeping to leave the streets.     Every Londoner can help too. You can donate to the London Homeless Collective so that we can offer more support to help people leave the streets and rebuild their lives.    Each member of this group has a specific project – such as providing emergency accommodation  longer-term support  or providing advice and assistance - that will benefit from your support. By giving your money to this coalition of charities  you can be confident that your donation will be distributed fairly and provide real help for people sleeping rough.     The Mayor of London  Sadiq Khan said: “The number of people sleeping rough on our streets is a national disgrace  and since becoming Mayor I have made it a priority to do everything in my power to tackle this crisis.    “The generosity of Londoners is well known  especially at this time of year  so I implore everyone to give what they can to help some of the most vulnerable people in our society.    “Every year we help record numbers through my winter programme - and while this is a testament to the hard work of outreach workers and shelter staff  it is also a damning indictment of the Government’s failure to get to grips with this vitally important issue.”     If you would like to find out more about the projects that will be funded email [email redacted].uk    The London Homeless Collective comprises:    The 999 Club and Lady Florence Trust  The Albert Kennedy Trust  Barons Court Project  Caritas - Anchor House  Centrepoint Soho  The Church Army  The Connection at St Martins-in the-Fields  Crisis UK  Depaul UK  Evolve Housing + Support  Glass Door Homeless Charity  Homeless Action in Barnet  Homeless Link  Housing Justice  Kingston Churches Action on Homelessness  LookAhead  New Horizon Youth Centre  Providence Row  The Salvation Army  Shelter  the National Campaign for Homeless People Limited  The Single Homeless Project  Spear Housing Association Limited  St Mungo Community Housing Association  Thames Reach Charity  The Big Issue Foundation  Passage 2000  West London Mission Methodist Circuit  National Council of Young Men's Christian Associations  Veteran's Aid.    Homeless Link is managing and coordinating the equal distribution of donations across the London Homeless Collective coalition.     A bit about the process:    We are fortunate to have the support of GoFundMe who donated £5 000 towards the winter campaign and who have been incredibly supportive throughout the planning and launch stages. GoFundMe do not charge any platform fees. A processing fee of 1.9% and 20p applies to all donations. If you choose to claim Gift Aid on your donation  100% of this will be delivered to the charities. All funds will be distributed by PayPal Giving Fund to Homeless Link  who will distribute them equally between the 29 member charities.     Please do get in touch if you have any questions about the appeal or our work. Contact [email redacted].uk",False
