Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" 30 Day Cuilcagh Mountain Challenge ","Killykeeghan, Northern Ireland, United Kingdom",https://uk.gofundme.com/f/26hvlwkk9c,1000,11705,,2020-10-29,,,0,,"Hi guys  I can't actually believe I am posting this. I don't know if I am completely mad or have just lost the plot but I am going to do a MASSIVE challenge where I hope to raise some money for local charities/foundations .     Any money raised will be shared between the following 3 charities/foundations -   1 -Action Mental Health New Horizons Enniskillen.   2 - Shane Mulholland Foundation.   3 - Enniskillen food bank.     The challenge itself is to walk Cuilcaigh mountains stairway to heaven  every day in November  this is 15km up and down every day for 30 days  450km total.     As we know at the minute the weather is getting worse so this is going to be a serious challenge  The biggest challenge of my life I'm sure but one I am ready to tackle head on.   Along the way I hope to have some friends  family and anyone else who wants to help me join my walk on a day when available as this will be as mentally challenging as it will be physical. I intend to do a video post of this every day at three stages  The start in the car park  The top of the summit and the bottom when I get back down. (I might not have signal in all parts but will get the videos up).     I am not going to lie i am nervous and apprehensive about doing this as I know this is a massive task but again this is something I have been thinking of doing for a long time and I am ready for it.",False
" Michael McIntyre wants to video call you! ","London, Greater London, United Kingdom",https://uk.gofundme.com/f/michaelMcintyre,58629,-1,,2020-04-01,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"  Hi! It’s Michael McIntyre in lockdown!    I’m trapped in my home and you’re trapped in yours so I've thought of an idea to raise spirits and raise money for a much needed cause.    I’m going to personally video call my fans to cheer them up! Hopefully in between hand washing  watching the news like it’s a disaster movie and diving in to bushes when you see someone walking towards you  I can brighten up your day! All you have to do is make a donation on this GoFundMe page to the amazing charity  The Trussell Trust. Please give as much as you can  but know that I will be trying to video call as many people as I can regardless of how much you donate. When you donate just click the ‘contact’ button at the bottom of this page (under where it says Michael McIntyre  organizer) and give your phone number along with a reason I should video call you and someone will be in touch to arrange a time for me to call. The Trussell Trust supports a network of food banks across the UK to provide emergency food to people in crisis  while working to ensure everyone has enough money to buy their own food. With the outbreak of the coronavirus pandemic  food banks need our help to get food to the people who need it most  more than ever. So please donate whatever you can and hopefully  I’ll be calling you soon! NOW FOR THE LEGAL PART: All funds raised will go directly to the Trussell Trust. You can find out more about the organisation on their website www.trusselltrust.org.I will try to call as many of you as possible but there might not be enough time in the day to speak to everyone who donates.Please note that I can only call you if you click on the ‘contact’ button on this page and send over your phone number. ",False
" Xpress Radio Specialist Takeover 2020 ","Cardiff Union Services Ltd, Wales, United Kingdom",https://uk.gofundme.com/f/xpress-radio-specialist-takeover-2020,500,650,,2020-01-25,,,0,,"It has long been tradition for Xpress Radio to hold an annually held specialist takeover to raise funds for local charities. In this year's takeover  Xpress Radio will be providing 24 hour live coverage of shows from music programmes to unmissable entertainment.     Our specialist broadcast starts at 3pm on Saturday 1st February and ends 3pm on 2nd February. Throughout this period  our presenters and producers will be working around the clock  taking over our normal weekend schedule all in the name of raising money for charity  and ensuring the station is able to continue the work it does  allowing students to practically build their skills and experience in the radio and media industry.      100% of all proceeds before the total of £500 will be donated to the Cardiff Food Bank Charity. After this amount  50% of every donation will go towards Xpress Radio  a non-profit student radio station  part of the Cardiff University Students' Union guild of societies and Cardiff Student Media.",False
" Winter Toy Appeal 2020 ","London, Greater London, United Kingdom",https://uk.gofundme.com/f/winter-toy-appeal-2020,15000,11036,,2020-10-07,,,0,,"Each year the Winter Toy Appeal collects new toys for children in poverty. They're distributed via a brilliant network of social workers  schools  children's centres  food banks  councils and refuges to children in most need in North and East London.  All money raised via this Go Fund Me page will be used to buy new toys from independent toy shops in London for children experiencing extreme poverty.  Last year's Winter Toy Appeal provided new gifts for 4 000 children in North and East London.",False
"'KARIS WITH LOVE' FREE SCHOOL MEALS ","Beckenham, Greater London, United Kingdom",https://uk.gofundme.com/f/free-school-meals-for-families-in-need,1984,-1,,2020-10-26,,,0,,"***UPDATE***    THANK YOU SO MUCH EVERYONE FOR ALL OF YOUR KIND DONATIONS. I'm closing donations now as we have raised more than I could ever imagine - Im so grateful as I've never raised money for anything in my life and I feel so lucky to be able to help during this time.    We have completely smashed the target and have been able to widen the catchment area and feed families  in need all over London. I am in talks about how I can make this an on going thing so stay posted on my instagram page for updates. I will be ploughing through as many meals as I possibly can for the remainder of the week and splitting the remaining donations over helping more families with supermarket vouchers and local food bank donations.    THANK YOU!!    _____________________________________    Hey! My name is Karis and I run a plant based meal prep business based in South London.     We are currently facing an extremely sad & difficult time where many families across the country won’t be able to feed their children during this half term.    I posted on my instagram that I will be cooking home made  plant based  tasty & nutritious meals this week to deliver to those in need but I have had an overwhelming response from those who do need help and so many of you have asked to donate.     So  this go fund me page is to get more money for extra ingredients to cater for everyone who has reached out & widen the catchment area from just Croydon & Beckenham to the whole of London.    It’s so wonderful to see communities come together to help support those in need during this time.    Food is everything to me. Food is life. Food is love. But it is not a luxury and no child should go hungry.    The more we make the more can help.    Thank you for all of the shares & support on this so far.    With Love  Karis x ",False
" COV- aid 19 ","Kenilworth, West Midlands, United Kingdom",https://uk.gofundme.com/f/cov-aid-19,1000,1225,,2020-05-06,,,0,,"Putting on a Gig on Saturday 30th May  Raising money for Local and vocal for local food banks and UHCW! If you want to get involved drop me a message! Let’s try and raise some money for Cov and help those in need!!!   So far on the bill we have:  Kyle McGurk   Faye Dolan  Josh Hale  Kane Collins  Ross Darby  Christy Pepper  Danny from Mvnich   Many more to come...  Drop me a message if you’re interested",False
" COVID19- Lets Dance For Charity. ","Luton, East of England, United Kingdom",https://uk.gofundme.com/f/covid19-lets-dance-for-charity,250,660,,2020-04-20,"Sufra NW London","Registered nonprofitDonations eligible for Gift Aid.",0,,"Hey guys Im Craig a Dance Teacher from just above London. In this awful time I thought I could use my own craft to help and support people who are not as fortunate as myself  and need it the most. It’s a tough time for everyone but there are people in far off worse situations than most and I just want to do my own bit to help. Ive decided on Monday 27th at 3:00PM I will be doing my first online live LYRICAL/SLOWDANCE class on Instagram! All the money raised from this will be going directly to this incredible CHARITY SUFRA.    Sufra is an amazing food bank and kitchen based in North London. They have launched an emergency appeal during this awful time  £10 will provide an emergency food parcel to someone in desperate need  and £50 will feed and supply a family of four. The parcel includes nappies  milk and nutritious food for babies everything you would need if you didn’t have enough money/can’t go out because of medical conditions to get food and supply’s.     If you wish to attend PLEASE make a donation above £2 in the go fund me link below. (You can be as generous as you wish) You do not have to participate in the class to donate!     If you are dancing with me please Leave the Instagram account you will be using in the comments description when leaving a donation and follow @ch_workshops private account to be accepted to participate. I look forward to dancing with you all & raising some dollar for a good cause. Thank you so much! ",False
" Hornets raising money for Trussell food bank ","Catshill, West Midlands, United Kingdom",https://uk.gofundme.com/f/hornets-raising-money-for-food-banks,500,685,,2020-04-03,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"We are a netball team based in Harborne  Birmingham. Due to the Coronavirus crisis we would like to show our support and help as much as we can. We thought we could donate match subs we are currently not paying due to no netball being played throughout the country and would love people to also get on board with helping us achieve our goal. We would just like to help in anyway we can and thought food banks are currently in need of help and support due to this crisis and feel this is something that is important to us. Please help us too if you can!   lots of love and please stay safe  Harborne Hornets Netball Club ",False
" Packed Lunch and Food Bank Donation ","Worcester, West Midlands, United Kingdom",https://uk.gofundme.com/f/packed-lunch-and-food-bank-donation,635,-1,,2020-10-25,,,0,,"Me and my friend Jaz Milward are raising money to go towards creating packed lunches for our local community who need it most during half term! Any excess donations will be put towards a HUGE donation towards the Worcester Food Bank which goes towards feeding families and people who need it.",False
" Shaving Head ","Porth, Wales, United Kingdom",https://uk.gofundme.com/f/hczku4-shaving-head,150,700,,2020-04-04,,,0,,"Hello  my name is Debbie from Porth  Rhondda..    I want to shave my head to be able to raise funds for the local community during these difficult times!    All money raised will be going to Rhondda Food Bank    If you can give I would appreciate but if not no problem (difficult times) but please do share :)     Thank you  much love xx",False
