Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" 15KM A DAY FOR NOVEMBER - MCR food bank fundraiser ","Manchester, North West England, United Kingdom",https://www.gofundme.com/f/jamess-fund-for-bridging-the-gap-manchester,10000,9446,2021-12-09,2021-11-01,"Bridging the Gap (Manchester)","Registered nonprofitDonations eligible for Gift Aid.",230,"2021-12-09 100/2021-12-06 30/2021-12-05 20/2021-12-04 15/2021-12-03 50/2021-12-03 50/2021-12-03 30/2021-12-03 30/2021-12-02 20/2021-12-02 20/2021-12-02 20/2021-12-02 100/2021-12-02 40/2021-12-01 20/2021-12-01 30/2021-12-01 20/2021-12-01 50/2021-12-01 10/2021-12-01 10/2021-12-01 5/2021-12-01 200/2021-12-01 25/2021-12-01 20/2021-12-01 100/2021-12-01 50/2021-11-30 25/2021-11-30 20/2021-11-30 20/2021-11-30 20/2021-11-30 20/2021-11-30 10/2021-11-30 100/2021-11-30 30/2021-11-30 20/2021-11-30 20/2021-11-30 50/2021-11-30 20/2021-11-30 10/2021-11-30 25/2021-11-30 20/2021-11-30 50/2021-11-30 20/2021-11-30 30/2021-11-30 20/2021-11-30 10/2021-11-30 20/2021-11-30 20/2021-11-30 10/2021-11-30 30/2021-11-30 20/2021-11-30 30/2021-11-30 25/2021-11-30 25/2021-11-30 20/2021-11-30 50/2021-11-30 100/2021-11-30 50/2021-11-30 20/2021-11-30 5/2021-11-30 10/2021-11-30 15/2021-11-30 100/2021-11-30 50/2021-11-29 20/2021-11-29 20/2021-11-29 30/2021-11-29 20/2021-11-29 5/2021-11-29 20/2021-11-29 50/2021-11-29 10/2021-11-29 10/2021-11-29 20/2021-11-29 20/2021-11-29 20/2021-11-29 250/2021-11-29 100/2021-11-28 20/2021-11-28 10/2021-11-28 20/2021-11-28 30/2021-11-28 25/2021-11-28 30/2021-11-28 20/2021-11-28 10/2021-11-28 50/2021-11-28 15/2021-11-28 10/2021-11-28 30/2021-11-27 20/2021-11-27 20/2021-11-27 15/2021-11-27 20/2021-11-26 10/2021-11-26 10/2021-11-26 20/2021-11-26 50/2021-11-26 10/2021-11-26 10/2021-11-26 10/2021-11-26 10/2021-11-26 30/2021-11-26 150/2021-11-26 45/2021-11-26 10/2021-11-26 25/2021-11-26 10/2021-11-26 10/2021-11-26 10/2021-11-26 10/2021-11-26 30/2021-11-26 30/2021-11-26 20/2021-11-25 10/2021-11-25 5/2021-11-25 20/2021-11-25 20/2021-11-25 20/2021-11-25 100/2021-11-25 40/2021-11-24 50/2021-11-24 20/2021-11-23 50/2021-11-23 50/2021-11-23 111/2021-11-23 15/2021-11-23 10/2021-11-23 20/2021-11-23 10/2021-11-23 10/2021-11-23 20/2021-11-23 10/2021-11-22 100/2021-11-22 30/2021-11-20 20/2021-11-20 20/2021-11-19 15/2021-11-19 30/2021-11-18 20/2021-11-18 10/2021-11-18 20/2021-11-18 15/2021-11-18 20/2021-11-18 10/2021-11-17 40/2021-11-17 10/2021-11-17 10/2021-11-17 20/2021-11-17 20/2021-11-17 50/2021-11-17 1000/2021-11-17 200/2021-11-16 50/2021-11-15 20/2021-11-15 20/2021-11-15 20/2021-11-15 20/2021-11-15 25/2021-11-14 5/2021-11-14 20/2021-11-14 10/2021-11-14 100/2021-11-13 100/2021-11-13 20/2021-11-13 30/2021-11-13 20/2021-11-12 20/2021-11-12 30/2021-11-09 25/2021-11-09 20/2021-11-09 20/2021-11-09 20/2021-11-09 20/2021-11-09 20/2021-11-09 500/2021-11-09 20/2021-11-08 20/2021-11-08 50/2021-11-07 10/2021-11-07 20/2021-11-07 100/2021-11-07 30/2021-11-07 30/2021-11-06 200/2021-11-06 20/2021-11-06 20/2021-11-05 20/2021-11-05 20/2021-11-05 200/2021-11-05 30/2021-11-04 20/2021-11-04 20/2021-11-04 30/2021-11-04 15/2021-11-03 25/2021-11-03 25/2021-11-03 25/2021-11-03 20/2021-11-03 25/2021-11-03 20/2021-11-03 100/2021-11-03 20/2021-11-03 10/2021-11-02 20/2021-11-02 25/2021-11-02 25/2021-11-02 25/2021-11-02 20/2021-11-02 25/2021-11-02 50/2021-11-02 20/2021-11-02 50/2021-11-02 20/2021-11-02 20/2021-11-02 20/2021-11-02 100/2021-11-02 20/2021-11-02 25/2021-11-01 20/2021-11-01 20/2021-11-01 20/2021-11-01 25/2021-11-01 20/2021-11-01 50/2021-11-01 30/2021-11-01 10/2021-11-01 25/2021-11-01 500/2021-11-01 25/2021-11-01 50","Right  i’m going in again..     Last November as Manchester entered lockdown restrictions local foodbanks came under increasing pressure and seen a huge increase in the need of food support. At the time I decided to embark on a wee running challenge to help raise some much needed funds for the Manchester South Central Foodbank.   One year on and food banks are again gearing up for another surge in demand as the most vulnerable people are plunged into further poverty due to the end of the furlough scheme  steep rises in energy bills and the recent cuts to Universal Credit.  Last year we raised over £7000 running 10km a day for 30 days straight..  This year I’m gonna up the ante and ‘attempt’ to run 15km everyday in November.  Thats 105km a week..   450km over the month..   That’s an extra 35km a week and 150km across the month compared to last year!   If we can raise even a fraction of the money we did last year it will be more than worth it!! Any funds raised will help massively towards the pressures over the Christmas period and will help those most in need.  All donations no matter how small will be deeply appreciated and will go a long way.  Also  any runners out there hit me up! I’ll need some support & encouragement to stay on track!  And we’re off.. ‍♂️",False
" Wells Vineyard Foodbank Van Appeal ","Wells, South West England, United Kingdom",https://www.gofundme.com/f/foodbank-van-appeal,5000,1158,2022-01-21,2021-11-25,"WELLS VINEYARD CHRISTIAN FELLOWSHIP","Registered nonprofitDonations eligible for Gift Aid.",18,"2022-01-21 50/2022-01-13 20/2022-01-07 150/2021-12-30 20/2021-12-29 30/2021-12-24 20/2021-12-24 50/2021-12-21 500/2021-12-18 15/2021-12-17 25/2021-12-14 30/2021-12-11 10/2021-12-11 10/2021-12-09 15/2021-12-08 50/2021-11-29 13/2021-11-27 50/2021-11-26 100","Our well loved van is coming to the end of its usable life and needs urgently replacing.   We use the van each week to collect and deliver donated essential furniture such as beds and cookers to people in need. Without a working van  our ability to help people most in need across Wells and the surrounding villages will be more limited.   Demand for help from Wells Vineyard Foodbank & Furniture Storehouse has risen 6-fold during the pandemic. This year alone  over 60 000 meals have been distributed in our area. People are referred by support agencies  GPs and schools and will receive a food box with approximately 4 days worth of food with 3 meals a day plus toiletries. The Furniture Storehouse recycles donated furniture  stores it and distributes it free upon referral. A van is critical to helping us function efficiently across our rural region.   We already have a third of the money we need to buy a van  but need your help to make this happen! You can make a difference by donating today to WELLS VINEYARD CHRISTIAN FELLOWSHIP.     ",False
" Perry's Pantry Foodbank Christmas Appeal ","Manchester, North West England, United Kingdom",https://www.gofundme.com/f/perrys-pantry-foodbank-christmas-appeal,4000,2045,2021-12-16,2021-10-29,"PERRYS PANTRY FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",60,"2021-12-16 500/2021-12-14 30/2021-12-10 10/2021-12-06 25/2021-12-06 350/2021-12-05 20/2021-12-04 30/2021-12-02 50/2021-12-02 10/2021-12-01 10/2021-12-01 15/2021-12-01 5/2021-12-01 40/2021-12-01 5/2021-12-01 20/2021-12-01 100/2021-11-30 25/2021-11-30 20/2021-11-30 50/2021-11-30 5/2021-11-30 15/2021-11-30 10/2021-11-30 20/2021-11-29 15/2021-11-29 15/2021-11-29 5/2021-11-29 25/2021-11-29 10/2021-11-29 25/2021-11-29 10/2021-11-29 10/2021-11-29 5/2021-11-29 20/2021-11-29 20/2021-11-29 10/2021-11-27 15/2021-11-26 5/2021-11-24 20/2021-11-18 30/2021-11-15 20/2021-11-14 15/2021-11-14 10/2021-11-14 50/2021-11-14 20/2021-11-14 20/2021-11-13 25/2021-11-13 20/2021-11-13 10/2021-11-12 10/2021-11-09 10/2021-11-08 25/2021-11-08 25/2021-11-08 10/2021-11-08 10/2021-11-08 10/2021-11-08 20/2021-11-06 30/2021-11-06 25/2021-11-02 50/2021-11-01 25","You can make a difference by donating today to PERRY'S PANTRY FOODBANK. Perry’s Pantry is a foodbank based in South Manchester which was set up in December 2020. Our Christmas Appeal first gifted Christmas presents and food parcels in 2020 prior to becoming a registered charity. We were kindly donated so many gifts and food  we managed to support more than 500 families with Christmas food and over 2 500 children across Manchester benefitted from the generous donations of gifts. Now as a registered charity (1194705) we are back for Christmas 2021 and now taking new referrals from agencies to refer families living in poverty or experiencing financial hardship  living in South Manchester to receive support from our Christmas appeal project.    We will be helping to support hundreds of people across South Manchester. ​If you can donate to help us help people in need  we would very grateful. Thank you so much. ",False
" Homelessness & Foodbank’s","Brierley Hill, West Midlands, United Kingdom",https://www.gofundme.com/f/homelessness-foodbanks,250,10,2021-11-05,2021-11-02,,,1,"2021-11-05 10","Help Hope Change's Lives  help those who need it the most...   Each year i look to you guys to help me in supporting the local community. I raise awareness around Homelessness and Food banks in your local area. I also support local chairities around promoting Mental Health and Wellbeing   This Year is no different. If you have always wanted to help and be part of the solution and just didnt know how then please look no further. I work with the local community outside of my fulltime job to offer donations  food & support network for mental health and other areas that people like me and you need every single day.   I am asking if you could sponsor a bag for just £8 which would mean the world to the one who is recieving it. Help those who cant help you is one of the most satisfying things you can do. Giving back doeen’t have to be filmed and photos taken its about that feeling you get knowing you have made a difference.   if your unable to donate then please share... I am also making a Hamper to raffle off in December so if you have any unwanted gifts or items sitting at home then please contact me.   If you want to come with me at Christmas to hand them out and trade stories then please send me a message as i love helpers.   Hope Change’s Lives",False
" Fill The Food Bank 2021 !! ","City of Birmingham, West Midlands, United Kingdom",https://www.gofundme.com/f/mcskgz-fill-the-food-bank-2021,400,500,2021-12-14,2021-11-25,,,24,"2021-12-14 10/2021-12-13 50/2021-12-08 30/2021-12-07 40/2021-12-06 50/2021-11-30 5/2021-11-30 15/2021-11-30 10/2021-11-30 50/2021-11-30 10/2021-11-28 50/2021-11-27 10/2021-11-26 15/2021-11-26 20/2021-11-26 10/2021-11-26 10/2021-11-26 20/2021-11-26 10/2021-11-26 20/2021-11-26 5/2021-11-26 5/2021-11-26 5/2021-11-26 30/2021-11-26 20","Hi everyone  you may or may not remember me doing a similar thing last year.   Last year as a group we raised a whopping £3 000 !! Which was a massive increase on 2019. This year we are looking to smash that record again - with your help!!  Mine (and your) contribution last year was £275 which I am so grateful for - but it would be amazing to beat that this year!!    We are just a group of friends who raise money every year in the run up to Christmas to buy food for local food banks around the South Birmingham area.   Now more than ever  your donations and support will mean so much more.  COVID has caused complications and tough situations for everybody  some more than others. Food banks were crying out for food to support local communities last year and this year is no different!!    Any and all donations are hugely appreciated and will go directly to purchasing food and non-perishables requested by the local food banks!!    Thank you for taking the time to read this and thank you in advance for your generous donation - you have made a massive difference!!",False
" Food Bank Christmas Donations ","Southsea, South East England, United Kingdom",https://www.gofundme.com/f/food-bank-christmas-donations,200,375,2021-12-10,2021-11-08,,,17,"2021-12-10 20/2021-12-09 10/2021-12-09 5/2021-12-06 5/2021-12-04 20/2021-12-02 30/2021-11-29 20/2021-11-28 20/2021-11-25 15/2021-11-18 25/2021-11-18 100/2021-11-17 15/2021-11-16 30/2021-11-09 10/2021-11-08 10/2021-11-08 20/2021-11-08 20","Once again as Christmas is close approaching so please take a minute to appreciate what you have. Even though this year has been mad for everyone there is still a lot of people who do not have the support & luxuries that most of us probably take for granted.  Sadly we are still live in a world where people and their families need your support. So again for this Christmas I will be doing a collection for Waterlooville food bank. I will be raising money which will go towards requested gifts for the families or can collect donations of presents/gifts - anything is acceptable!!     If you are in a position to donate anything at all I urge you to do so! It doesn’t have to be much & doesn’t have to be through me  even if over the next couple of weeks you can add a few extra bits to your shopping for your local food bank at a supermarket  anything helps!     So if you have a little extra money to donate this Christmas  I can guarantee there will be someone out there who will really appreciate it!     Please message me if you would like to donate gifts towards this and I’m more than happy to collect any local donations if required!!I will be looking to have donations by the 15th December 2021.",False
" Support the BIG DOG to help those in need ","Grantham, East Midlands, United Kingdom",https://www.gofundme.com/f/support-the-big-dog-to-help-those-in-need,1000,650,2021-12-28,2021-11-21,,,45,"2021-12-28 10/2021-12-24 20/2021-12-24 20/2021-12-24 20/2021-12-24 20/2021-12-24 10/2021-12-23 20/2021-12-23 10/2021-12-23 50/2021-12-23 10/2021-12-23 10/2021-12-22 10/2021-12-22 5/2021-12-22 5/2021-12-17 5/2021-12-17 15/2021-12-17 20/2021-12-15 20/2021-12-15 5/2021-12-15 25/2021-12-09 20/2021-12-09 15/2021-12-09 10/2021-12-09 10/2021-12-07 10/2021-12-06 5/2021-12-04 25/2021-12-01 10/2021-12-01 5/2021-11-30 20/2021-11-28 50/2021-11-26 10/2021-11-26 10/2021-11-23 15/2021-11-22 20/2021-11-22 10/2021-11-22 10/2021-11-22 10/2021-11-22 5/2021-11-21 10/2021-11-21 10/2021-11-21 20/2021-11-21 20/2021-11-21 5/2021-11-21 5","Hi last year I asked for your help to raise money for the food bank and Grantham Passage well I wanna go again. This time tho this fat boy will be RUNNING 2 to 4 times a week and hopefully finish with a 5k in the Christmas week maybe dressed as Santa for a bubble. Please I know times are hard for everyone but there even harder for some others out there if everyone on my Facebook and Instagram donate £1 I’ll smash my target. If anyone would wants to get involved holla at me      PLEASE PLEASE PLEASE PLEASE PLEASE   HELP ME HELP OTHERS BIG LOVE FROM THE BIG DOG    BE BOLD BE EPIC BE YOU ",False
" Keep our homeless bus shelter open ","Norwich, East of England, United Kingdom",https://www.gofundme.com/f/keep-our-homeless-bus-shelter-open,2000,2308,2021-12-21,2021-11-08,,,55,"2021-12-21 50/2021-12-21 10/2021-12-21 1000/2021-12-21 20/2021-12-21 10/2021-12-06 50/2021-12-01 20/2021-11-29 20/2021-11-28 10/2021-11-20 25/2021-11-18 15/2021-11-17 25/2021-11-16 20/2021-11-15 20/2021-11-15 20/2021-11-15 30/2021-11-15 50/2021-11-15 20/2021-11-14 30/2021-11-14 20/2021-11-14 50/2021-11-14 10/2021-11-14 20/2021-11-14 50/2021-11-14 15/2021-11-14 20/2021-11-14 10/2021-11-13 10/2021-11-13 10/2021-11-13 5/2021-11-13 20/2021-11-13 100/2021-11-13 10/2021-11-13 50/2021-11-13 15/2021-11-13 25/2021-11-13 20/2021-11-13 10/2021-11-13 8/2021-11-13 10/2021-11-13 20/2021-11-13 10/2021-11-13 10/2021-11-13 50/2021-11-13 20/2021-11-13 15/2021-11-13 30/2021-11-13 10/2021-11-13 10/2021-11-13 10/2021-11-09 10/2021-11-09 20/2021-11-08 10/2021-11-08 50/2021-11-08 100","Norwich Homeless Support runs a ten bed converted coach housing the homeless of Norwich.    Just in the last few months we have rehoused 7 people who have come on to the bus and now rehoused in local hostels with one who now has his own room in a shared property and back working full time.     We also run a community food bank which is a vital service for those who need emergency food parcels.     We have proven the bus to work but with winter here our furniture sales have slowed down and we really need some funding in to least cover us for the next few months so we can keep the bus running.     I have put our costs below  all money is spent on keeping our services running.     Unit & storage rent: £500 this is where our bus is parked and also our storage container.   Telephone & internet system: £20 per month. This is for our landline number for people to get in touch with us.  Petrol: £100 a month to help with volunteers cars.   Waste collection: £20 a month   Portaloo: £25 a week plus vat - we need to get one down yard so we have two toilets on site.   Insurance: £110 a month.   Other costs: around £300 monthly this could be things like topping up first aid box  topping up equipment on the bus or carrying out dbs checks.   These are our main costs we need to cover every month just to run if you could please make a donation and share.   You can see what we do on our Facebook page Norwich Homeless Support.       ",False
" Help families & children this Christmas","Gillingham, South East England, United Kingdom",https://www.gofundme.com/f/help-families-children-this-christmas,1000,1455,2021-12-13,2021-11-19,,,41,"2021-12-13 10/2021-12-12 20/2021-12-10 5/2021-12-10 10/2021-12-10 10/2021-12-05 20/2021-12-05 10/2021-12-03 20/2021-12-03 10/2021-12-03 10/2021-12-02 25/2021-12-02 50/2021-12-02 25/2021-12-02 15/2021-12-01 10/2021-12-01 25/2021-12-01 25/2021-12-01 20/2021-11-28 50/2021-11-26 25/2021-11-24 50/2021-11-24 50/2021-11-23 10/2021-11-23 5/2021-11-23 50/2021-11-23 20/2021-11-23 20/2021-11-22 50/2021-11-22 10/2021-11-21 100/2021-11-20 15/2021-11-20 20/2021-11-20 10/2021-11-20 100/2021-11-20 40/2021-11-20 10/2021-11-20 300/2021-11-19 50/2021-11-19 50/2021-11-19 50/2021-11-19 50","Hi all       Last year I raised funds which provided a total of 5 Christmas dinners & over 80 presents to families & children of low income families struggling at Christmas! I am looking at doing more this year!      Christmas should be an amazing time for all & I’m setting this up so we can help as many people as possible again this year!      I am working with Salvation Army for the families & presents & will also be looking at providing 2 meals to choices (domestic abuse housing) and a cash donation to the Medway food bank. Kindly my employer will also be looking at matching any donations (up to 3k).      Any size donation would be a massive help so please give what you can and make Christmas as special for as many as possible",False
" Mid Essex food support ","Danbury, East of England, United Kingdom",https://www.gofundme.com/f/g973ys,1000,490,2021-12-23,2021-11-11,,,33,"2021-12-23 5/2021-12-23 15/2021-12-22 25/2021-12-22 25/2021-12-22 20/2021-12-22 10/2021-12-22 50/2021-12-21 10/2021-12-21 5/2021-12-21 15/2021-12-21 10/2021-12-21 5/2021-12-20 30/2021-12-20 20/2021-12-19 5/2021-12-19 20/2021-12-18 10/2021-12-18 10/2021-12-18 20/2021-12-14 20/2021-12-14 10/2021-12-02 5/2021-11-30 5/2021-11-27 5/2021-11-25 20/2021-11-21 20/2021-11-19 10/2021-11-14 10/2021-11-13 15/2021-11-13 10/2021-11-13 10/2021-11-12 20/2021-11-12 20","This is a non profit organisation  we run purely on food donations and donations through our go fund me page.   Hello my name is Hayley The last year along side my wonderful volunteers we have been collecting and distributing food parcels in Chelmsford Maldon wickford  billericay  witham  brentwood heybridge and Danbury in Essex. I also offer advise and help for people further away to get the help they need with food parcels  clothing and every day essentials. I have come to realise not not everyone has access to a vehicle and I do  so I have been able to help people in need such as the elderly who are isolating families who can't get to food banks  people and families who are struggling with there benefits and making ends meet. The delivery service is also a door opening to engage in the lonely and vulnerable in the community  also people who want to donate food but have no way of delivering to a food bank. This is a private group and confidentiality means everything if you do not wish to post and ask for help on this page then please inbox me and I will help the best I can. all food and other essentials are currently need for donation which I can pick up. Things needed include *Tinned food and cupboard soup beans custard rice pudding vegetables spaghetti hoops tuna chic pea's fruit Sugar Tea Coffee Bread Rolls *grains pasta rice lentils *cereals all kinds *long life milk *treats Biscuits sweets *Toiletries Toothpaste Soap Shower gel Toilet paper Deodorant *Household items Washing powder/liquid Cleaning materials ",False
