Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
0,"Hope For Southall Street Homeless -",5126.11,"NHS Charities Together",Cambridgeshire,"PE13 1JE","The Trust owns and maintains Octavia Hill's Birthplace House in Wisbech, Cambridgeshire, a Grade II* Listed Georgian Building which contains exhibits, displays and archives of the life and work of Octavia Hill (1838 - 1912).
Within the Birthplace House there are two cottages containing three Incubator Office Units, a Tearoom, and Shop which are leased to and operated by Octavia Hill Trading Ltd.","
NHS Charities are the offical way that the NHS raises, holds and spends charitable funds. There are 230 NHS charities in the country.
NHS Charities Together (aka the Association of NHS Charities) is the umbrella organisation for the NHS' offical charities in the UK.
Endorsed by the Department of Health and Social Care, and NHS England, NHS Charities Together provides support and grants only to these NHS' official charities.
 NHS charities provide extra vital funds and services to NHS hospitals, ambulances, mental and community health trusts and health boards. This funding is above and beyond what the government provides and is spent on enhancing care and experience of patients.
www.nhscharitiestogether.co.uk ","Association Of Nhs Charities,Suite 68  Lake View House,Wilton Drive  CV34 6RG",20/05/2020,13/06/2020
1,"BILLINGE NATURE RANGERS",329,"Whitechapel Centre","Birmingham City, Solihull","B45 9SN","Services for people with acquired Brain Injury - programmes aimed at different stages of developement - meeting a variety of needs.
Services in the Community for carers and families, giving assessment and support,Counselling, BMEG services and training.
Lifestyle Service offering 1 to 1 support for Brain Injured peop;le to access social,leisure and vocational apportunities in the Community.","The Whitechapel Centre is the leading homeless and housing charity for the Liverpool region. We work with people who are sleeping rough, living in hostels or struggling to manage their accommodation. We are committed to helping people find and maintain a home and learn the life skills essential for independent living.

Thank you for supporting the Whitechapel Centre. Your donation will help us to make a lasting change to lives of people who are homeless. 

£5 could pay for a cooked breakfast for 10 rough sleepers. 
£15 could buy an advice session, securing accommodation for someone who is homeless","Langsdale Street,Everton  Liverpool,  L3 8DU",27/02/2020,06/03/2020
2,"Beckey Boyles",74,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",05/05/2020,11/05/2020
3,"Bernie Woulfe",0,Threshold,"Devon, Dorset",,,"Threshold is a Swindon based charity for single homeless people providing quality caring services and supportive hostel accommodation with resettlement programmes. 
 
 Threshold Strategic Objectives are:
1) To prevent homelessness
2) To alleviate the associated social exclusion of homelessness and actively assist recovery from its effects
3) Influence policy that affects homeless and socially excluded people

We support over 750 people each year. We do this through our street outreach service which helps those sleeping on the Swindon's streets and through our move-on projects and  resettlement hostels. 
Welcoming vulnerable homeless people into our projects is only part of our role; preparing them to live independently is just as important.
Our sources of income are grants from government and charitable foundations and trusts and licence fee income. However, we also rely upon the continued generosity of members of the public and our supporters just like you.
Please help us continue to give homeless people the chance to change.","1 John Street,  Swindon,Wiltshire  SN1 1RT",,
4,"Blundell's School",1260.63,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",04/05/2020,15/05/2020
5,"CHARGE St George and St Paul Tiverton",940,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",30/04/2020,19/05/2020
6,"Carol Shutkever",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
7,"Caroline Neill",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
8,"Caroline Sides",25,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,10/05/2020
9,"Chris Newall",300,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",22/05/2020,30/05/2020
