Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" Advent calendar appeal ","Frodsham, North West England, United Kingdom",https://www.gofundme.com/f/advent-calendar-appeal,400,345,2021-11-12,2021-10-01,,,40,"2021-11-12 5/2021-11-03 10/2021-11-01 10/2021-11-01 10/2021-11-01 5/2021-11-01 5/2021-11-01 10/2021-11-01 10/2021-11-01 5/2021-10-31 20/2021-10-31 15/2021-10-31 10/2021-10-31 10/2021-10-29 10/2021-10-29 5/2021-10-29 10/2021-10-12 5/2021-10-08 5/2021-10-07 5/2021-10-04 15/2021-10-04 10/2021-10-03 5/2021-10-02 10/2021-10-02 10/2021-10-02 10/2021-10-02 20/2021-10-02 5/2021-10-01 5/2021-10-01 10/2021-10-01 10/2021-10-01 10/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 10/2021-10-01 15","  We are collecting advent calendars for local children whose families rely on food banks.   By donating we will buy an advent calendar on your behalf and donate it to our local foodbank. ",False
" Jared's fund for ASYLUM WELCOME ","Oxford, South East England, United Kingdom",https://www.gofundme.com/f/jareds-fund-for-asylum-welcome,100,110,2021-11-07,2021-10-24,"ASYLUM WELCOME","Registered nonprofitDonations eligible for Gift Aid.",9,"2021-11-07 20/2021-11-07 10/2021-11-07 10/2021-11-07 20/2021-11-06 10/2021-11-01 5/2021-10-29 15/2021-10-29 10/2021-10-25 10","Hello!!! i am running the reading half marathon on the 7th of November in hopes to raise money for the oxford based charity ASYLUM WELCOME! this charity supports vulnerable refuges that have took refuge in oxford. supporting over 80 young people with food banks  english lessons and lawyer work to access human rights. any donations would be hugely appreciated. ",False
" HELP A YOUNG FAMILY IN DESPERATE NEED! ","Jedburgh, Scotland, United Kingdom",https://www.gofundme.com/f/fn7mv-help-a-young-family-in-desperate-need,100,10,2021-11-09,2021-11-08,,,1,"2021-11-09 10","Hello everyone. I am trying to raise funds  just a small amount  to help 2 friends who are expecting a baby to get by until their benefits are sorted out!   The young couple in question would help anyone in the best way they could  but they now need just a little bit of help themselves! I am going to keep their names to myself so as to not cause them any embarrassment  not that they should feel any  a lot of us have been in similar situations. I will refer to them as R (female) & A (Male). Due to severe illness  and being 31 weeks pregnant  R is unable to work at present  and A is her carer.   Unfortunately they have hit hard times  getting a little behind with things  and have recently been going without food and heating due to lack of accessible funds. At present they are awaiting benefits decisions which as a lot of people know can sometimes take weeks  even months. They have tried everything to speed things along  have been refused help from the council where they live  citizens advice bureau told them there was nothing they can do but wait  and the food bank only allows a household to visit for supplies 1 a month! They have electricity  but no gas for heating  they have no food in and have been surviving on little bits they have managed to acquire here and there. They have no immediate family that can help either! Needless to say all of the stress is affecting R's health even further  physically and mentally  and is also putting the baby at risk!!   I have loaned them a little personally  until they can afford to repay it  but it wasn't much  they are worrying about that too even though I have told them not to and I'm in no rush  but their situation is worsening day by day!   Please could you find it in your hearts to help them get past this rough patch and back on their feet by donating just a small amount towards helping a wonderful young couple pull through their tough time! I would sincerely appreciate any donation  however small! All moneys will be transferred straight to their account to help them purchase food  gas & other essential items! Thanks",False
" Help the AP Foundation community bus project ","Lee Valley Velopark, Greater London, United Kingdom",https://www.gofundme.com/f/help-the-ap-foundation-community-bus-project,5000,60,2021-08-20,2021-08-20,"AP Foundation CIO","Registered nonprofitDonations eligible for Gift Aid.",2,"2021-08-20 50/2021-08-20 10","  Please join me in making a difference by supporting a good cause! Chrissy will be heading a team of volunteers from the AP Foundation CIO  to take part in the 5km Run-through Lee Valley Velopark on Saturday 23rd October 2021. Her brave efforts will help raise money for the AP Foundation ""Made in London"" bus project. Made in LONDON is a multi-media training and intervention project delivered into the community on board a purpose-built double-decker bus  to help disadvantaged young people  and those at risk of exclusion from school  out of education  employment or training and at risk of offending  to change their lives for the better and reduce anti-social behaviour. The bus will travel into the heart of the community so that we can attract those who need us most and working alongside local Youth Offending Teams  Pupil Referral Units  Social Services  Police  Schools and Community services  we will make a difference. Thank you in advance for your contribution to this cause  which means so much to us all. Anyone wishing to take part in the run or willing to offer support please contact www.apfoundation.co.uk Help us by sharing on social media. Thank you.   1. The bus will function as a radio station. They will travel to different areas of London/ UK with a different artist every month performing in that area. Radio broadcast will be on radio frequency  and online platforms (Youtube  Instagram  FB live etc) 2. When the bus is not being used as a radio station  it will be used by underprivileged youths as a recording studio  to record their potential music and accompanying videos. 3. Programs will be offered in music production and recording that teens can sign up to attend online before the actual recording offers to begin. 4. A competition for best recording and music video can be offered at the end of the month with either monetary or product giveaway from sponsors  plus the opportunity to perform live on the radio and exposure to the radio’s listeners. 5. As well as performances from artists bringing light to the cause  our APF mentors will also have their own podcast and talk show. They would take calls from underprivileged kids or gang members  other ex-offenders and the like and give real-life advice based on their experiences helping give mentorship not only on a one-to-one basis but also that can be accessed online for many others that may need the same advice. 6. On radio off days  the bus can be used as a traveling food bank to bring food from supermarket sell-by produce to people who need it the most. We can also provide cups of tea or coffee to those in need of a hot drink and some company to ease the loneliness the Covid lockdown has brought to many. Volunteers for this would be from the foundation as a rehabilitation project for ex-offenders to give back to the community.       ",False
" Help for single mum with 4 little ones ","Luton, East of England, United Kingdom",https://www.gofundme.com/f/zyvha-single-mum,10000,5,2021-10-04,2021-09-30,,,1,"2021-10-04 5","Hey my name is kamila I'm 26 years old and I'm single mum of 4 little munchkins Ian 5 years old  Liam 3 and half  Aalia 1 and half and Mia 3 months old. Last 2 years was really difficult for me i been thru so much problems and struggling and because of that I get in really big debs with bills and people. My wifi been cut and my phone either I had days when I couldn't afford a food and was getting help from food banks but the food was already expired so I wasn't able give it for kids. I'm using one app when people give free food sometimes but I couldn't always get it as I'm not driving and the food need to be pick up by myself. Boys dad is not really much in our life he don't even have time to come and see his son and they miss him so much and keep asking when he will finally come and girls dad want to prison and he left me with everything on my own. My life is a hell at the moment as I can't afford even to get a food for kids and that's making me feel like the worse mum ever. Aalia my little princess have health problems. She start everything late like rolling from belly to back  sitting  crawling and now she's 18 months and still doesn't walk as her muscles are too weak and she will need physiotherapy and appointments with different doctors and this will cost me a lot. Ian have ADHD what make his life more difficult as not many people understand him and saying that he's very naughty child what makes him often upset but really he's the sweetest child I ever met he have so much love inside his little heart he will give me hugs and kisses like no other child will do. Always when I'm sad or he see me crying he always gonna come to me hug me wipe my tears and said ""don't cry mummy i love you"" and this words makes me keep going and fighting everyday because I know I have my children to live for. Without them I would be probably dead right now. I was going thru deep depression and sometimes I feel like I don't deserve to be a mum as my children deserve everything what's the best for them and atm I can't give them much because I'm a bit financially struggling Im not able to afford anything and this kill me everyday special when they asking me if I can buy them something they really want. If I could back to work I would do it but atm that's not possible as my little one is just 3 months old and I don't have any family or much friends here. I wish I could back to Poland to my parents but I can't even afford to do my girls passports as everyday I'm trying to manage to get some food or stuff for kids . I love my kids so much from bottom of my heart and I could die for them if I will have to and I feel very bad and shy to ask for help but atm that's the only option I have so if you can help me even little bit I would really much appreciate it at this will let me finally live without stressing everyday that someone will knock to my door or i that my kids will have no food in the fridge. Thank you so much for reading and understanding my situation and for any help what will change my and my 4 little munchkins lifes for better ❤️ God bless you ❤️ ",False
" Help with living expenses ","Liverpool, North West England, United Kingdom",https://www.gofundme.com/f/d83aj-help-with-living-expenses,2000,805,2021-11-10,2021-09-23,,,37,"2021-11-10 10/2021-11-08 10/2021-10-25 30/2021-10-23 10/2021-10-22 5/2021-10-22 20/2021-10-22 50/2021-10-22 40/2021-10-16 10/2021-10-16 15/2021-10-15 10/2021-10-15 25/2021-10-15 30/2021-10-15 20/2021-10-13 100/2021-10-12 20/2021-10-12 20/2021-10-04 10/2021-10-02 10/2021-09-29 10/2021-09-29 10/2021-09-29 10/2021-09-28 10/2021-09-28 15/2021-09-28 20/2021-09-28 20/2021-09-28 50/2021-09-28 10/2021-09-28 50/2021-09-28 5/2021-09-28 25/2021-09-27 50/2021-09-27 5/2021-09-27 20/2021-09-27 20/2021-09-27 20/2021-09-24 10","My name is Barido and I am kindly asking for your support with regards to my living expenses so that I can survive as I await a decision concerning my application to the Home Office for leave to remain status    About me?     I was born in Nigeria and moved to the UK in 2004 to study. I finished my Masters in 2014 and am currently living in the North West area of Merseyside. I have previously worked for Foodbank as a volunteer during the pandemic helping homeless people  migrants  and other vulnerable people.    Situation?    I have always worked and paid my living expenses when I had a student visa. However  because of the hostile environment policy and UK’s draconian immigration system  I do not have permission to work  and I have no recourse to public funds (NRPF)  meaning that I have no access to housing support and benefits. As a result  I have been couch surfing and relying on the kindness of friends to stop me from being street homeless. I am also struggling with prediabetes and need proper nutrition and diet to avoid my situation getting worse.    What’s the plan?    Because I cannot work due to my dispute with the Home Office  I am kindly asking for some financial support to help with my living needs while I await a decision on my application with the Home Office. Thank you for your generosity and kindness during this difficult phase in my life.",False
" We want to help and support the homeless. ","Capital City Academy, Greater London, United Kingdom",https://www.gofundme.com/f/we-want-to-help-and-support-the-homeless,50,30,2021-08-19,2021-08-16,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-08-19 5/2021-08-18 5/2021-08-17 5/2021-08-16 10/2021-08-16 5","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
" PLEASE HELP ME FEED MY CHILDREN ","Birmingham, West Midlands, United Kingdom",https://www.gofundme.com/f/fkaffp-please-help-me-feed-my-children,0,300,,2021-11-10,,,0,,"I’m struggling to buy my kids food as gas and electricity have gone sky high   I have gone to food banks but they don’t offer a variety of halal food inc meat as my daughter has allergy’s ",True
" Please help raise money for my family’s rent ","Hadfield, East Midlands, United Kingdom",https://www.gofundme.com/f/please-help-raise-money-for-my-familys-rent,0,5000,,2021-10-28,,,0,,"Hello my name is. Jane I am a single mother in the uk I have asked my daughter to set one of these up for me to help us try to get money for our rent I couldn’t do it myself as I’m still not use to all this technology lol anyway I lost my job 4 months ago due to covid the place where I worked shut down . I’m trying to live my best life but I am struggling to pay my rent and buy us food I have tried what I can and have been to food banks but I really need help so please  Could you make a donation to help my family thank you so very much xxx Jane ",True
" Hot meals for kids during school holidays ","Newcastle Upon Tyne, North East England, United Kingdom",https://www.gofundme.com/f/hot-meals-for-kids-during-school-holidays,0,15000,,2021-08-16,"CLOTHE AND FEED","Registered nonprofitDonations eligible for Gift Aid.",0,,"  The summer holidays have begun here in Britain. For many children of low-income families what should be a happy time is instead filled with anxiety. Food aid charities predict an upsurge in poorer families relying on food banks  now that the school kitchens they relied on to provide their children with a buttered piece of toast at a morning breakfast club or a hot meal at lunch are closed for the summer. We interact with about 40 childrens social workers weekly and have set up a distribution network to feed hundreds of kids per week with hot meals till schools reurn . This fundraiser is vital . £5 feeds two kids  £100 puts fuel in our van  £500 helps with ingredients  £1000 helps to supply the food cartons . You can make a difference by donating today to CLOTHE AND FEED. ",True
" David’s GoFundMe to get the Van back on the Road ","Bramhall, North West England, United Kingdom",https://www.gofundme.com/f/davids-gofundme-to-get-the-van-back-on-the-road,0,750,,2021-08-16,"Chelwood Foodbank","Registered nonprofitDonations eligible for Gift Aid.",0,,"We support people throughout Stockport and beyond who are in need of food. Young people  older people  families  we support everyone. People are referred to us by agencies such as the CAB/Stockport Homes/MIND/Social Services etc. We have other projects in the pipeline which are coming soon as we seek to address the root causes of poverty and play our small part in addressing the issues caused by poverty  low pay and unemployment. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for Chelwood Foodbank and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",True
