Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
" Thank you High Peak Food Bank and Zink Project ","Buxton, East Midlands, United Kingdom",https://www.gofundme.com/f/thank-you-high-peak-food-bank-and-zink-project,500,175,2021-07-22,2021-06-22,"THE ZINK PROJECT CIO","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-07-22 25/2021-06-30 100/2021-06-28 20/2021-06-24 10/2021-06-22 20","I first came in to contact with Zink in September last year. Having had a mental breakdown and suicide attempt I was struggling mentally and financially. I went to the food bank and while there I had a mini breakdown. This is when I met [Zink Advice Worker] Julie. Julie was extremely easy to talk to and quickly gained my trust to be able to talk to her. She helped me sort through piles of paperwork  speaking to people about bills and debts  getting me to speak to the right people to help me and being there when I just needed to talk. Since September I have been diagnosed with autism and the biggest problem I had was a debt to my landlord of over £4000 for which they had an eviction order. Julie was instrumental in helping me get a court hearing where the eviction was suspended. Julie's knowledge was brilliant and made we aware of funds/benefits available to me and because of this in under nine months I have been able to pay off (through myself and funds) the entire arrears and have the eviction set aside. For the first few months I was also reliant on the food bank side while my money git sorted.  I cannot thank Julie (and Zink and high peak food bank) enough for the last nine months. Without her and them I certainly wouldn't be in as good a position as I am now - mentally  financially and emotionally.   I want to give back and as I am not working I don't have the means to give what I want.   This is my thank you. Please help me so that they can continue to help people back on their feet the way they have helped me.   In addition to this I have had some lovely people on here and B and Q donate materials for making a mosaic and Buxton Woodwork  Buxton building supplies and Markovitz have all donated enough materials for me to make around six bird tables and several bird boxes. These will be being sold and auctioned off by Zink/food bank for some more money for them.   Thank you in advance as I say thanks to them",False
" Please help my husband and family ","Keith, Scotland, United Kingdom",https://www.gofundme.com/f/please-help-make-my-husband-well-again,20000,11408,2021-09-05,2021-08-12,,,110,"2021-09-05 500/2021-09-03 20/2021-09-03 50/2021-09-03 20/2021-09-03 20/2021-09-03 650/2021-09-03 80/2021-09-03 100/2021-09-02 100/2021-09-01 50/2021-08-31 100/2021-08-31 150/2021-08-30 20/2021-08-29 100/2021-08-28 45/2021-08-28 50/2021-08-28 100/2021-08-28 430/2021-08-28 50/2021-08-27 30/2021-08-27 20/2021-08-27 20/2021-08-27 10/2021-08-27 30/2021-08-26 730/2021-08-26 25/2021-08-26 500/2021-08-25 850/2021-08-25 250/2021-08-25 500/2021-08-24 50/2021-08-24 200/2021-08-23 5/2021-08-23 100/2021-08-23 50/2021-08-23 200/2021-08-23 100/2021-08-23 40/2021-08-23 100/2021-08-23 20/2021-08-22 50/2021-08-21 50/2021-08-21 50/2021-08-21 100/2021-08-21 100/2021-08-21 400/2021-08-21 100/2021-08-20 250/2021-08-20 150/2021-08-20 100/2021-08-20 100/2021-08-20 100/2021-08-20 20/2021-08-20 37/2021-08-19 40/2021-08-19 50/2021-08-19 20/2021-08-19 30/2021-08-19 30/2021-08-19 20/2021-08-19 25/2021-08-19 10/2021-08-18 200/2021-08-18 10/2021-08-18 50/2021-08-18 100/2021-08-18 100/2021-08-18 20/2021-08-18 15/2021-08-17 10/2021-08-17 50/2021-08-17 10/2021-08-17 20/2021-08-17 10/2021-08-17 10/2021-08-17 120/2021-08-17 50/2021-08-17 10/2021-08-17 100/2021-08-17 10/2021-08-17 15/2021-08-17 150/2021-08-16 500/2021-08-16 100/2021-08-16 100/2021-08-16 50/2021-08-16 5/2021-08-15 75/2021-08-15 50/2021-08-15 20/2021-08-15 25/2021-08-15 50/2021-08-15 50/2021-08-15 100/2021-08-14 180/2021-08-14 180/2021-08-14 30/2021-08-14 20/2021-08-14 180/2021-08-14 10/2021-08-14 100/2021-08-14 10/2021-08-14 10/2021-08-14 10/2021-08-14 10/2021-08-14 25/2021-08-13 85/2021-08-13 8/2021-08-12 43/2021-08-12 25","Hi my name is Cora. I’m married to john and have 5 beautiful children.   A few years ago john was working as a helicopter pilot. A career he had wanted since he was a child and absolutely adored.    But then he got sick. He struggled for a long time before doctors figured out he had several auto immune diseases all at once. He struggles every day with pain  sickness  and insomnia. He takes morphine every day and has done for years  with really debilitating side effects because the medical system can’t help him.   He was made redundant from his beloved job and eventually we lost our house to the bank as we couldn’t keep up with the mortgage. This is something he really struggles to accept. Since then we have gone from one disaster to another. We rent a house at the moment that the landlord wants us to move out so they can use it for something else but we have nowhere to go. The council can’t help us. No private landlord will help because john is not working and we cannot afford to get anywhere ourselves.     It’s really hard to watch our kids miss out on so much in their childhood. Some of them are too young to remember the amazing  fun  hardworking dad they had. Now they see him sick and weak and they see all the things they miss out on because we cannot afford it or because he is too ill to take part in it. It’s hard to hide our tears when we know there’s something they want but we can’t give it to them. Or hide our upset when we have to go to the food bank or sell some of our things to give them a birthday present or afford their homeschooling needs.   It’s very humbling to have to hold your hands up and admit you need help. For john to not be able to provide for his family is devastating. He is not able to admit we need help but I as a wife and mother know that humbling ourselves and asking for help is the only option left open to us.     Johns own doctors have told us about medication they believe will really help him and get him off the morphine. But they cannot prescribe this medication on the NHS and unfortunately we cannot afford to buy it privately. John was due to have an operation in January 2020 but it was postponed due to COViD and he is still waiting. He could get this operation in a matter of weeks privately but we cannot afford to pay for it. There are many things we could do to help him get better and get back to work but we cannot afford it. It’s extremely heartbreaking to know there is help right in front of us but we cannot take advantage of it because we don’t have enough money.     We have experienced people’s kindness throughout this process. We feel so ashamed that we have not been able to repay that kindness and to have to ask for more help but that’s exactly what I’m doing. I need my husband back. My kids need their father back and we need some stability in our lives again  we need a forever home.   If you could please help in anyway I would be so so grateful. You have no idea how much your help could change our lives. Please help me get my husband well again and not suffer so much everyday. Please me give my babies a forever home and a dad who is well enough to be the dad he always wanted to be.     Thank you for any help you can give and We would be so grateful for any prayers you could offer for our family. Xx    Edit:  Thank you all so much for your donations. It’s incredibly overwhelming to experience all your generosity and kindness. And thank you also to the people who have personally sent donations directly to us  Mavis & Chris and Marion O’Reilly.   We are totally humbled by your love and kindness. Thank you all xxxx",False
" Totton spiritualist church sponsored sleep out!! ","Totton, South East England, United Kingdom",https://www.gofundme.com/f/totton-spiritualist-church-sponsored-sleep-out,1000,800,2021-08-26,2021-07-27,,,39,"2021-08-26 40/2021-08-25 10/2021-08-25 40/2021-08-25 10/2021-08-24 10/2021-08-24 10/2021-08-23 20/2021-08-23 40/2021-08-23 50/2021-08-23 20/2021-08-23 40/2021-08-23 10/2021-08-23 30/2021-08-23 10/2021-08-23 15/2021-08-23 5/2021-08-23 5/2021-08-23 20/2021-08-23 10/2021-08-23 20/2021-08-23 10/2021-08-23 100/2021-08-23 10/2021-08-21 10/2021-08-19 10/2021-08-18 20/2021-08-16 10/2021-08-14 30/2021-08-11 50/2021-08-07 10/2021-08-07 10/2021-07-31 10/2021-07-27 20/2021-07-27 10/2021-07-27 10/2021-07-27 25/2021-07-27 20/2021-07-27 10/2021-07-27 10","Save the foodbank!!!     Totton spiritualist church are doing a sponsored sleep out to raise funds for our homeless and food bank. On the 23rd august we are sleeping out for the night from 9pm till 5am. We want to know what these poor homeless feel to have to sleep out every night and raise awareness to this. Our foodbank is running very low and we are worried we will have to close the foodbank down. Please support and sponsor us if you can!!       ",False
" Witham NCS fundraiser 2021 ","Lincoln, East Midlands, United Kingdom",https://www.gofundme.com/f/witham-ncs-fundraiser-2021,300,30,2021-07-27,2021-07-20,,,4,"2021-07-27 10/2021-07-26 10/2021-07-26 5/2021-07-26 5","Hello. We are a group of Year 12 NCS participants. We are currently raising money in order to buy food  for food banks and the homeless  in order to help the vulnerable as we feel as if this is needed within our community.   ",False
" Help the AP Foundation community bus project ","Lee Valley Velopark, Greater London, United Kingdom",https://www.gofundme.com/f/help-the-ap-foundation-community-bus-project,5000,60,2021-08-20,2021-08-20,"AP Foundation CIO","Registered nonprofitDonations eligible for Gift Aid.",2,"2021-08-20 50/2021-08-20 10","  Please join me in making a difference by supporting a good cause! Chrissy will be heading a team of volunteers from the AP Foundation CIO  to take part in the 5km Run-through Lee Valley Velopark on Saturday 23rd October 2021. Her brave efforts will help raise money for the AP Foundation ""Made in London"" bus project. Made in LONDON is a multi-media training and intervention project delivered into the community on board a purpose-built double-decker bus  to help disadvantaged young people  and those at risk of exclusion from school  out of education  employment or training and at risk of offending  to change their lives for the better and reduce anti-social behaviour. The bus will travel into the heart of the community so that we can attract those who need us most and working alongside local Youth Offending Teams  Pupil Referral Units  Social Services  Police  Schools and Community services  we will make a difference. Thank you in advance for your contribution to this cause  which means so much to us all. Anyone wishing to take part in the run or willing to offer support please contact www.apfoundation.co.uk Help us by sharing on social media. Thank you.   1. The bus will function as a radio station. They will travel to different areas of London/ UK with a different artist every month performing in that area. Radio broadcast will be on radio frequency  and online platforms (Youtube  Instagram  FB live etc) 2. When the bus is not being used as a radio station  it will be used by underprivileged youths as a recording studio  to record their potential music and accompanying videos. 3. Programs will be offered in music production and recording that teens can sign up to attend online before the actual recording offers to begin. 4. A competition for best recording and music video can be offered at the end of the month with either monetary or product giveaway from sponsors  plus the opportunity to perform live on the radio and exposure to the radio’s listeners. 5. As well as performances from artists bringing light to the cause  our APF mentors will also have their own podcast and talk show. They would take calls from underprivileged kids or gang members  other ex-offenders and the like and give real-life advice based on their experiences helping give mentorship not only on a one-to-one basis but also that can be accessed online for many others that may need the same advice. 6. On radio off days  the bus can be used as a traveling food bank to bring food from supermarket sell-by produce to people who need it the most. We can also provide cups of tea or coffee to those in need of a hot drink and some company to ease the loneliness the Covid lockdown has brought to many. Volunteers for this would be from the foundation as a rehabilitation project for ex-offenders to give back to the community.       ",False
" Help raise money for a double freezer ","Newport, West Midlands, United Kingdom",https://www.gofundme.com/f/help-raise-money-for-a-double-freezer,300,15,2021-06-15,2021-06-11,,,2,"2021-06-15 5/2021-06-12 10","So today I had my local food bank come round to me and tell me that there freezer has packed up and they help loads of people who can't afford food and i would like to help them by getting a new double freezer. With the old freezer they have had to chuck loads of food away so please guys let's help others ",False
" The Lighthouse ","Peacocks Shopping Centre, South East England, United Kingdom",https://www.gofundme.com/f/9sksb6-the-lighthouse,550,254,2021-08-06,2021-07-23,,,12,"2021-08-06 9/2021-08-04 15/2021-07-30 15/2021-07-30 10/2021-07-30 125/2021-07-30 5/2021-07-28 20/2021-07-28 10/2021-07-26 10/2021-07-26 10/2021-07-26 15/2021-07-25 10","We are a small group of NCS (National Citizen Service) members who are organising a fundraise for 'The Lighthouse'. A vibrant hub in the centre of Woking that hosts a range of creative projects to support  encourage  and empower those who find themselves on the margins. They do this by supporting the community such as providing a foodbank  jigsaw  chat & support  money advice and much more. ",False
" Oldham NCS looking to help the local community ","Oldham, North West England, United Kingdom",https://www.gofundme.com/f/oldham-ncs-looking-to-help-the-local-community,50,45,2021-07-17,2021-07-14,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",7,"2021-07-17 5/2021-07-15 5/2021-07-15 5/2021-07-15 10/2021-07-14 5/2021-07-14 5/2021-07-14 10","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
" We want to help and support the homeless. ","Capital City Academy, Greater London, United Kingdom",https://www.gofundme.com/f/we-want-to-help-and-support-the-homeless,50,30,2021-08-19,2021-08-16,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-08-19 5/2021-08-18 5/2021-08-17 5/2021-08-16 10/2021-08-16 5","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
" Barnsley Foodbanks ","Barnsley, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/were-an-ncs-group-based-in-barnsley-giving-back,0,100,,2021-08-05,"BARNSLEY FOOD BANK PARTNERSHIP","Registered nonprofitDonations eligible for Gift Aid.",0,,"Hey all! Please help us by donating for Barnsley foodbank partnership. We're an NCS group based in Barnsley doing our social action project that we hope to continue long after NCS ends. ",True
