CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1110522,"The Trussell Trust",False,2020-04-22,80,80,"2020-07-08 30/2020-07-02 200/2020-06-30 2640/2020-06-29 10/2020-06-26 30/2020-06-25 30/2020-06-17 50/2020-06-16 50/2020-06-13 20/2020-06-12 250/2020-06-09 40/2020-06-09 100/2020-06-09 100/2020-06-09 100/2020-06-08 50/2020-06-05 30/2020-06-04 240/2020-06-03 100/2020-06-02 100/2020-06-01 125/2020-06-01 50/2020-06-01 5/2020-05-30 30/2020-05-29 95/2020-05-27 100/2020-05-27 50/2020-05-23 30/2020-05-20 870/2020-05-16 50/2020-05-15 800/2020-05-13 1000/2020-05-12 20/2020-05-12 10/2020-05-11 30/2020-05-11 30/2020-05-11 250/2020-05-10 30/2020-05-10 20/2020-05-10 100/2020-05-10 5/2020-05-09 30/2020-05-07 20/2020-05-06 150/2020-05-06 100/2020-05-05 100/2020-05-05 100/2020-05-03 100/2020-05-03 50/2020-05-03 150/2020-05-02 100/2020-05-02 181/2020-05-01 100/2020-05-01 10/2020-05-01 10/2020-05-01 100/2020-04-30 10/2020-04-30 10",https://www.justgiving.com/Brent-FoodBank,2020-07-08,10456,5000,"Donating to Brent Foodbank"
,,,1153813,"Slough Foodbank",False,2020-06-08,16,16,"2020-07-29 250/2020-07-27 1000/2020-07-17 10/2020-07-16 10/2020-07-16 20/2020-07-16 10/2020-07-14 1000/2020-07-14 20/2020-07-14 10/2020-07-14 10/2020-07-13 20/2020-07-13 1000/2020-07-02 5000/2020-06-11 100",https://www.justgiving.com/Slough-Foodbank1,2020-07-29,20960,25000,"M4 J3-12 Project - Fundraising for Slough Foodbank"
,,"Throughout London, Kent",1134973,"Network Church Sheffield",False,2020-05-06,28,28,"2020-08-09 50/2020-07-08 30/2020-07-08 30/2020-06-24 10/2020-06-23 30/2020-05-28 30/2020-05-27 20/2020-05-25 50/2020-05-24 30/2020-05-23 50/2020-05-23 30/2020-05-22 30/2020-05-22 30/2020-05-16 10/2020-05-16 20/2020-05-16 50/2020-05-16 30",https://www.justgiving.com/Fulwood-Foodbank-Appeal,2020-08-09,1270,10000,"Fulwood Foodbank supporting hungry families across Sheffield"
,,,SC043981,"Glasgow SE Foodbank",False,2018-11-07,62,62,"2018-12-05 10/2018-11-22 10/2018-11-21 5/2018-11-21 10/2018-11-20 20/2018-11-20 10/2018-11-20 30/2018-11-20 30/2018-11-19 20/2018-11-19 10/2018-11-19 10/2018-11-19 5/2018-11-18 10/2018-11-18 12/2018-11-16 35/2018-11-16 5/2018-11-16 5/2018-11-16 5/2018-11-15 10/2018-11-15 10/2018-11-12 35/2018-11-10 5/2018-11-10 10/2018-11-10 10/2018-11-10 10/2018-11-09 10/2018-11-09 10/2018-11-09 15/2018-11-09 10/2018-11-09 20/2018-11-09 20/2018-11-09 10/2018-11-08 20/2018-11-08 10/2018-11-08 20/2018-11-08 15/2018-11-08 10/2018-11-08 20/2018-11-08 10/2018-11-08 10/2018-11-08 10/2018-11-08 20/2018-11-08 20/2018-11-08 5/2018-11-08 40/2018-11-08 5/2018-11-08 10/2018-11-08 10/2018-11-07 30/2018-11-07 10/2018-11-07 20/2018-11-07 20/2018-11-07 10/2018-11-07 5/2018-11-07 5",https://www.justgiving.com/The-Strathclyde-University-Foodbank-Society,2018-12-05,810,900,"The Strathclyde University's Sponsored Fast "
,,,1110522,"The Trussell Trust",True,2020-08-18,0,0,,https://www.justgiving.com/rebeccas-footsteps-for-foodbanks,,0,150,"Rebecca's footsteps for foodbanks"
,,,1110522,"The Trussell Trust",False,2020-05-12,30,30,"2020-07-23 100/2020-06-28 30/2020-06-17 10/2020-06-12 10/2020-06-11 10/2020-06-09 10/2020-06-09 10/2020-06-09 10/2020-06-09 20/2020-06-09 10/2020-06-09 5/2020-06-08 30/2020-06-05 50/2020-06-05 10/2020-06-05 20/2020-06-05 10/2020-06-05 10/2020-06-04 10/2020-06-04 5/2020-06-03 200/2020-05-29 10/2020-05-21 50/2020-05-19 10/2020-05-15 10/2020-05-12 10/2020-05-12 10/2020-05-12 300",https://www.justgiving.com/South-Essex-College-FE-Foodbank-Friday,2020-07-23,1030,1000,"South Essex College supporting FE Foodbank Friday"
,,,1110522,"The Trussell Trust",False,2020-08-11,6,6,"2020-08-12 30/2020-08-12 10/2020-08-11 10/2020-08-11 10/2020-08-11 100",https://www.justgiving.com/EatouttoReallyhelpoutFoodbanks,2020-08-12,260,2000,"Eat out to Really help out Foodbanks!"
,,,1137819,"First Love Foundation",False,2020-07-17,9,9,"2020-08-10 5/2020-08-07 5/2020-08-06 5/2020-08-05 20/2020-08-05 10/2020-07-30 10/2020-07-30 10/2020-07-28 50",https://www.justgiving.com/Ema-Gombos,2020-08-10,123,50,"Supporting FoodBank "
,,,250275,UKIM,False,2015-12-20,7,0,,https://www.justgiving.com/foodbank01,,58,300,Snowdon4Water
,,,1136965,"Oasis Hub - Waterloo",True,2020-08-05,0,0,,https://www.justgiving.com/Fran-and-Mark-Cycle-up-a-Mountain,,0,1850,"Waterloo Foodbank"
,,,1149296,"Merthyr Cynon Foodbank",True,2020-07-31,21,21,"2020-08-23 20/2020-08-23 20/2020-08-22 10/2020-08-21 10/2020-08-16 25/2020-08-12 5/2020-08-09 10/2020-08-07 20/2020-08-05 10/2020-08-05 10/2020-08-04 10/2020-08-04 10/2020-08-03 5/2020-08-03 10/2020-08-03 10/2020-08-03 250/2020-08-01 30/2020-08-01 5/2020-08-01 5/2020-07-31 10/2020-07-31 10",https://www.justgiving.com/Rhonda-Braithwaite,2020-08-23,495,675,"Rhonda's Walking for Foodbank "
,,,1110522,"The Trussell Trust",False,2020-03-25,10,10,"2020-04-04 10/2020-04-02 10/2020-03-29 30/2020-03-29 50/2020-03-27 10/2020-03-27 10/2020-03-26 10/2020-03-25 20",https://www.justgiving.com/Helen-Bennett34,2020-04-07,205,100,"Local foodbanks"
,,,1097185,"DENS - Helping rebuild lives",True,2020-03-18,0,0,,https://www.justgiving.com/Martin-Chapman16,,0,0,"Martin's foodbank contribution"
,,,1110522,"The Trussell Trust",False,2020-03-19,5,5,"2020-03-22 30/2020-03-22 10/2020-03-22 10/2020-03-20 20",https://www.justgiving.com/Kate-Welsh4,2020-03-22,100,5000,"Vale Foodbank"
