Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
"Punkoween Foodbank Fund","Rosyth, Scotland, United Kingdom",https://uk.gofundme.com/f/punkoween-foodbank-fund,1263,1200,,2020-10-10,,,0,,"Punkoween is a yearly event ran by Yet Another Wasted Night at Montys in Dunfermline. Obviously the event cant run as normal this year  so it will be ran as an online stream. In the past  YAWN has collected money for the Dunfermline Foodbank and would love to be able to help out this year when foodbanks are needed more than ever. Ive set a target of £250 but id love for all us generous punks to smash that amount. Please tune in on at 8pm on the 31st Oct at the YAWN page and donate generously!",False
"Mayor of Lewisham's Foodbank Appeal","London, Greater London, United Kingdom",https://uk.gofundme.com/f/mayor-of-lewisham039s-foodbank-appeal,144508,150000,,2020-03-16,,,0,,"As the situation unfolds in response to COVID-19 we are raising vital funds so that the Foodbank can respond to increasing demand. We are facing an unprecedented challenge and so any donation will be warmly welcomed as we continue to support people most in need.    I am Rev Carol Bostridge  Senior Project Manager of Lewisham Foodbank  I live in Sydenham and have been employed part-time by the Foodbank for 5 years.     All donations given via this campaign will be used by Lewisham Foodbank to either purchase food for our clients or enhancing the service we offer (eg providing volunteers with gloves  setting up a delivery service for those self isolating and purchasing addition equipment as needed).     All donations will be given directly to Lewisham Foodbank which is part of a registered charity (Transform Network) and their trustees will oversee the spending of the money and produce clear accounts.",False
"Team 24 Hour Run","Fraserburgh, Scotland, United Kingdom",https://uk.gofundme.com/f/team-24-hour-run,4565,-1,,2020-06-08,,,0,,"  Weʼre raising £500 to Help raise funds for the Salvation Army Foodbank in Fraserburgh by taking on the Locos 24 Team Challenge.    Starting on Friday at 7am players and staff at Fraserburgh United will be raising funds to support a local charity. We will be taking on the Locos24 Team Challenge. Everyone will run for 1 hour and the distances recorded using the Strava app. The “running order” for the event will be posted on the clubs Facebook page.    Any contributions would be much appreciated - Wish us luck!    All donations will be passed on to Salvation Army Foodbank in Fraserburgh.",False
"Support our foodbank and Childrens Appeal","Everton, North West England, United Kingdom",https://uk.gofundme.com/f/support-our-foodbank,27239,35000,,2019-04-02,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",0,,"Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.    More information about Liverpool Six Community Association: At our Community Centre we provide advice services  lunch clubs  youth clubs  a foodbank  tea dances  short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas and Easter     We need funds to keep our 15 Freezers kept on after Liverpool Council stopped our funding. And we want to support 5000 families this Christmas",False
"UK Publishing support for The Trussell Trust","London, Greater London, United Kingdom",https://uk.gofundme.com/f/uk-publishing-support-for-the-trussell-trust,11570,-1,,2019-12-17,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"People from across the UK publishing industry  from editors  booksellers and authors  to publicists  agents and designers  are donating money to go towards helping the acute crisis in poverty and hunger amongst the least well off in the country.    We live in a nation where more than 14 million people are living in poverty – including 4.5 million children. The Trussell Trust has given out over 1.6 million packs of food supplies in the past year alone. Food Banks are not just a place to pick up essential sustenance  with cuts to community centres and frontline services they have also become mini-welfare and advice centres.    We're aiming to raise £5000 before Christmas 2019  which will go to the Trussell Trust. Your donation will directly help those most in need of support. It is vital that those working in publishing come together as a community and take action.    It is important to help those in greatest need but solutions must also be found to the reasons people find themselves in need of food banks.    The Trussell Trust’s CEO Emma Revie has indicated that the benefits system has been driving a rise in foodbank use– the charity released their State of Hunger 2019 report in November.    “This is the busiest six months we’ve ever seen – more people than ever before are being forced to foodbanks’ doors ” said Revie. “Our benefits system is supposed to protect us all from being swept into poverty  but currently thousands of women  men and children are not receiving sufficient protection from destitution. This is not right. But we know this situation can be fixed – our benefits system could be the key to unlocking people from poverty. We need to put money back into the pockets of people who most need our support. It’s in our power as a country to end the need for foodbanks. This can change.”        Thank you for your support.        Kit Caless & Kish Widyaratna     ---    Stats and quote from:  https://www.trusselltrust.org/what-we-do/  https://www.bigissue.com/latest/trussell-trust-foodbanks-deal-with-steepest-rise-in-demand-yet/    More information about The Trussell Trust: The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org.",False
"100k for Hartlepool Foodbank","Hartlepool, North East England, United Kingdom",https://uk.gofundme.com/f/100k-for-hartlepool-foodbank,1510,1500,,2020-11-06,"Hartlepool Foodbank CIO","Registered nonprofitDonations eligible for Gift Aid.",0,,"Over November me and the old man have pledged to run 100k each to try and raise some much needed funds for Hartlepool Foodbank. Obviously these are difficult times for everyone at the minute and any donations are greatly appreciated.",False
"#LIVEFORLOVE Campaign for UK Food Banks","London, Greater London, United Kingdom",https://uk.gofundme.com/f/LIVEFORLOVEUK,45121,50000,,2020-03-19,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"#LIVEFORLOVE     During COVID- 19 we are asking musicians  artists  DJs  Producers to live stream for love. During this difficult time  now more than ever there are people that are desperately relying on Food Banks across the UK.     The Trussell Trust support a nationwide network of food banks and provide emergency food and support to people locked in poverty.     In the UK  more than 14 million people are living in poverty – including 4.5 million children. The Trussell Trust support more than 1 200 food bank centres to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis  as well as support to help people resolve the crises they face.    If you want to get involved please join our facebook group and let us know if you would like to do a set: www.facebook.com/groups/LIVEFORLOVEUK    [email redacted]    More information about The Trussell Trust: The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org.",False
"Free packed lunches for children entitled to FSM","South Hykeham, East Midlands, United Kingdom",https://uk.gofundme.com/f/free-packed-lunches-for-children-entitled-to-fsm,1600,30,,2020-10-23,,,0,,"As the government has rejected offering free school meals to children in half term  we would like to help those families and ensure that no child goes hungry. We have had a lot of people offer donations and requesting a fundraiser so we have created this for anyone wanting to help. Any donations leftover will be used to help local foodbanks. We will be making free packed lunches throughout the half term for children. If anyone is struggling to make ends meet  please drop us a message (will be strictly confidential) and we will provide a pack up for your children starting from the 27th of October through the half term. We will ensure we are in full PPE whilst making pack ups for hygiene reasons and to avoid risk of contamination  and can arrange delivery/collection.     We understand times are hard at the moment and we want to do our bit to support families and children  please do not hesitate to message us. This is entirely self funded so if anyone would like to donate that would be amazing. Please share and spread the word!!!!!    #nochildgoeshungry #endchildfoodpoverty    Please note we both are trainee primary school teachers and both have a DBS and will also always abide by social distancing rules. ",False
"HELP FOODBANKS FEED PEOPLE DURING CORONAVIRUS","Southend-on-Sea, East of England, United Kingdom",https://uk.gofundme.com/f/help-foodbanks-feed-people-during-coronavirus,87130,10000,,2020-03-16,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"WE ARE IN THE MIDST OF A GLOBAL PANDEMIC. SUPERMARKET SHELVES ARE EMPTY. BUSINESSES ARE CLOSING. PEOPLE ARE LOSING WORK.     1.3 MILLION FOOD BANK PARCELS WERE HANDED OUT BY THE TRUSSELL TRUST IN EMERGENCY SITUATIONS LAST YEAR  to people who would have gone hungry if not for charitable help.    I've been a food bank user myself. I'm only here today because of the kindness of strangers - donating food  distributing it  identifying that I was struggling and helping me out.     And now the supermarket shelves are empty. People are filling up their own trollies and cupboards to try to deal with the panic of an unknown pandemic - and food banks up and down the country are running out of food.    As the impact of coronavirus takes hold  and the knock on effect of unpaid work  unfulfilled contracts  zero hours workers getting literally zero hours  new universal credit claims (currently a six week delay  who knows how much longer it will be with so many new claims to process?!)  More and more people are going to find themselves at the door of the food bank  only to find that their shelves are empty too.    It's my birthday today (17th March) and I'm sitting here on my sofa at half past midnight truly thankful to be seeing another birthday at all. But all I want - really - is for people to dig as deep as they can and help restock struggling food banks so that the most vulnerable people in our neighbourhoods can access a little help in this precarious and difficult time.    People who can't afford to stockpile. People who buy their shopping in meagre amounts day to day. People who were already struggling who now won't be able to make ends meet.    We don't know how Covid19 is going to end up. We have no idea of the impact on our economy  society  communities. But poverty is already isolating  lonely  and exhausting. If we all turn inwards and only look after ourselves  more and more people are going to slip through the cracks.    All the money raised here does directly to the TRUSSELL Trust who will use it to support people in need and at risk of food insecurity and hunger throughout the UK.    If you can't afford to donate - sharing it on social media is free. Thankyou for your support.    The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org.    All the best    Jack Monroe. ",False
"Castle Beach Cafe Free Lunches","Falmouth, South West England, United Kingdom",https://uk.gofundme.com/f/castle-beach-cafe-free-lunches,4150,500,,2020-10-23,,,0,,"Over half term we will be providing free packed lunches for any child who normally receives free school lunches.  So many wonderfully generous people expressed a desire to help that I have set up this donation page.  Any money donated will be used to buy food for these lunches.   Any surplus money at the end of half term will be split between the Falmouth Foodbank and CPR (Camborne  Pool and Redruth) Foodbank as the Foodbanks work hard to support families in need all year round. ",False
