Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" Helping Wolverhampton food banks ","Tipton, West Midlands, United Kingdom",https://www.gofundme.com/f/helping-wolverhampton-food-banks,1000,20,2022-02-23,2022-02-14,,,1,"2022-02-23 20","Hi all  with the cost of living on the rise and it becoming a difficult time for everybody  charities need as much help as they can get. So I want to help raise funds for several good banks in the Wolverhampton area. Not only will they need help paying for everything  but the amount of people that may be forced to use food banks is only set to rise  so to help them be able to provide food for those that need it most  I’m looking to raise as much as I can  even to help in the short term and provide them with a much needed boost. We never know if we might need a food bank at some point in the future and I hope to help so they can continue doing the fantastic work they currently do. ",False
" Lucie's Half Marathon for THE HACKNEY FOODBANK ","London, Greater London, United Kingdom",https://www.gofundme.com/f/lucies-half-marathon-for-the-hackney-foodbank,400,175,2022-04-30,2022-04-13,"THE HACKNEY FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",10,"2022-04-30 20/2022-04-24 15/2022-04-22 10/2022-04-19 10/2022-04-15 10/2022-04-13 40/2022-04-13 10/2022-04-13 40/2022-04-13 10/2022-04-13 10","Hi friends  I have been a volunteer at Hackney Foodbank for a number of years now; I've been running for far less. This May I am running my very first half marathon  in support of the Hackney Foodbank and I am asking for your help to raise as much as we can to help those in need.   I've seen first hand the great work the charity does to support Hackney residents with the most basic of necessities but also provide information and support to those in need. I've also seen how quickly demand has grown  and we are all aware of how that growth is sadly likely to continue. In January and February  we gave out 51 919.89 kg of emergency food parcels alongside information about how to access wider support from local organisations. So please  give as generously as you can  but know that every donation counts.   Thank you in advance for your contribution to this cause which means so much to me. ",False
" Finedon foodbank storage container. ","Finedon, East Midlands, United Kingdom",https://www.gofundme.com/f/finedon-foodbank-storage-container,600,40,2022-02-22,2022-02-21,,,2,"2022-02-22 20/2022-02-22 20","Hi. As you know Finedon foodbank has to leave it’s premises in two weeks at finedin cricket club .     We have found a storage unit available at £172. 00 a month with one months deposit and two months rent upfront.     We are doing this to try and fund the upfront costs.     ",False
" Yusuf & Dawud An-Nasihah fundraiser 2022","Leicester, East Midlands, United Kingdom",https://www.gofundme.com/f/yusuf-dawud-annasihah-fund-raiser,1000,1024,2022-05-01,2022-04-25,,,49,"2022-05-01 20/2022-05-01 50/2022-05-01 10/2022-05-01 10/2022-05-01 5/2022-05-01 1/2022-05-01 20/2022-05-01 30/2022-05-01 10/2022-04-30 20/2022-04-30 10/2022-04-30 25/2022-04-29 50/2022-04-29 5/2022-04-27 10/2022-04-27 20/2022-04-27 75/2022-04-27 30/2022-04-27 10/2022-04-26 5/2022-04-26 10/2022-04-26 20/2022-04-26 10/2022-04-26 15/2022-04-26 5/2022-04-26 10/2022-04-26 5/2022-04-26 5/2022-04-26 10/2022-04-26 10/2022-04-26 25/2022-04-25 10/2022-04-25 30/2022-04-25 10/2022-04-25 70/2022-04-25 10/2022-04-25 22/2022-04-25 10/2022-04-25 20/2022-04-25 100/2022-04-25 20/2022-04-25 15/2022-04-25 10/2022-04-25 11/2022-04-25 25/2022-04-25 50/2022-04-25 50/2022-04-25 10/2022-04-25 10","  The funding will go towardsNecessities for the needy (food packages  shelter  clean water)Orphan sponsorshipAssisting local projects (food banks and the homeless)Fund projects helping the elderly and disadvantaged childrenhttps://youtube.com/shorts/CSCYS7v1oZ4?feature=share",False
" Please Help me as revert Bilal ","Birmingham, West Midlands, United Kingdom",https://www.gofundme.com/f/please-help-me-as-revert-bilal,1000,212,2022-04-30,2022-04-17,,,17,"2022-04-30 5/2022-04-30 10/2022-04-29 20/2022-04-28 5/2022-04-27 5/2022-04-27 20/2022-04-27 30/2022-04-25 15/2022-04-24 5/2022-04-23 20/2022-04-23 5/2022-04-23 10/2022-04-23 10/2022-04-22 10/2022-04-22 20/2022-04-22 7/2022-04-22 15","Assalamualikum My name Is Bilal and I am A Revert who was raised In Milton keynes but I live in Birmingham  I created this page due to the fact of me unfortunately having some issues in my life  I was homeless last year and I don’t have any GCSE’s at all   Unfortunately I also don’t have the right citizenship  I’m from Zimbabwe originally and was bought here as a small child at the age of 2  now I’m 24 but I’ve just had basically a very tough upbringing and I come from a family that hasn’t always had money  I suffer unfortunately from a type of depression disorder and at the moment I can’t work as well because of the fact I haven’t got the right citizenship  and I just needed help from the Ummah to just maybe fund me sorting out getting the right citizenship  for example getting a passport  I have to revise and sort that out but I researched and the citizenship is around £1000  because the issue is I applied for a residence permit and I was denied 3 times  I had to use my universal credit money for that and it still didn’t work and when the government cut the universal credit things got even more tough for me till now  so I just needed help because of that  my number is +447575783942 if any of you have questions or concerns  I’m still a Newcomer to Birmingham  I live in now shared accommodation and I live in Nechells so if anybody has anybody who can help or wants to help please I have given my number I can explain my situation in person so you can understand what the problem is  may Allah bless you and your family and it doesn’t matter if you don’t donate   just you helping would mean a lot wallahi and May Allah reward you barakalafeekum and JazakAllah khair  it felt embarrassing asking for this but as a revert I pray the Ummah can help In’sha’Allah.I’m just a revert who is desperate for new clothes etc and stuff  yes I’ve been going to food banks and stuff but it isn’t always ideal   you know? JazakAllah khair and May Allah bless your hearts wallahi",False
" Easter Egg Appeal 2022 ","Chippenham, South West England, United Kingdom",https://www.gofundme.com/f/easter-egg-appeal-2022,200,155,2022-04-14,2022-03-31,"Helping Victims of Domestic Violence in Wiltshire","Registered nonprofitDonations eligible for Gift Aid.",20,"2022-04-14 5/2022-04-11 5/2022-04-11 10/2022-04-10 5/2022-04-10 10/2022-04-10 5/2022-04-10 5/2022-04-10 10/2022-04-10 5/2022-04-10 5/2022-04-10 5/2022-04-10 10/2022-04-05 10/2022-04-05 10/2022-04-04 20/2022-03-31 5/2022-03-31 10/2022-03-31 10/2022-03-31 5/2022-03-31 5","    We need your help !!!!   Each year we run an Easter Egg Appeal  donating Easter Eggs to Children who would otherwise not Receive one. Children in Refuge  Children in safe House  Children that our outreach work with. Also vulnerable children that are identified in our community.   No one should have to feel left out of an age old tradition after all its only an egg   to you and me maybe. But to the poor child its alot more. Firstly it shows someone cares. It showd that they are not being punished for what has just gone on in their life. It also socially includes them as Tommy at school got an egg  well now with your support so did they.   So please don't let the child think they are not getting an egg because they have been bad or because they believe what's gone on with seeing Violence and abuse is their fault. !! Show them someone does care help with the cost of a few Eggs   We are in need of Chocolate Easter Eggs. Please Donate to help a child this year or Would you Company  School  Group do a Collection ?   Covid has taken enough from our Children please don't let it take their Easter.   Helping victims of Domestic Violence is a charity set up to help Families/individuals that are suffering or involved in associated issues surrounding domestic abuse.   We help from the time of them leaving DV. Through the time they are in refuge or Safe House's through to When they get their keys to their new Empty New Home and Beyond.   We help with Clothes  Toys  essential hygiene items and some nice luxuarys like a face pack or somthing to show them we and you care. Baby items   bottles  Nappies  Food.   Right up to sourcing Furniture and equipment to furnishing their home. Being a Friend and support in times or need.   When covid started in 2019 we also started a food bank to help the local community. We went door to door to ensure the elderly and vulnerable had food and delivered fresh fruit and veg along with Bakery items that had been donated to us through food surplus.   We continue to support the local community from vulnerable children to the elderly and vulnerable adults who are suffering in very hard times.   Please help support a wonderful charity. Working hard to make a difference.   Saving Lives that could be taken during DV !!   All of us are Volunteers there are no paid members of staff within the Charuty. So you know that your donation is not someone's Wage. It does go to the ones that need it   Thank you                 ",False
" MARKS CHARITY SKYDIVE FOR DEPHER ","Cockerham, North West England, United Kingdom",https://www.gofundme.com/f/marks-charity-skydive-for-depher,1000,1133,2022-04-26,2022-02-24,,,55,"2022-04-26 20/2022-04-19 5/2022-04-19 20/2022-04-19 10/2022-04-19 10/2022-04-19 12/2022-04-19 25/2022-04-19 5/2022-04-19 25/2022-04-19 25/2022-04-19 300/2022-04-19 5/2022-04-15 5/2022-04-14 5/2022-04-12 25/2022-04-12 25/2022-04-12 30/2022-04-11 30/2022-04-11 20/2022-04-11 20/2022-04-11 10/2022-04-11 5/2022-04-11 10/2022-04-11 20/2022-04-11 5/2022-04-11 5/2022-04-11 5/2022-04-11 10/2022-04-11 10/2022-04-10 25/2022-04-10 5/2022-04-10 20/2022-04-10 10/2022-04-10 5/2022-04-10 20/2022-04-05 5/2022-04-04 10/2022-04-04 6/2022-03-23 15/2022-03-23 20/2022-03-19 10/2022-03-17 25/2022-03-17 25/2022-03-12 10/2022-03-12 10/2022-03-12 10/2022-03-12 5/2022-03-12 20/2022-03-12 10/2022-03-12 20/2022-03-07 5/2022-03-02 20/2022-03-01 10/2022-02-26 100/2022-02-24 10","During my childhood money was extremely tight to the point where me and my four siblings were only having two meals a day. Our father worked long hours travelling from Yorkshire to London and back every day delivering. But no matter how hard he worked it just wasn't enough to feed his family. Back in the early 90s there wasn't much help as in food banks and charities that help communities. So a few years ago I made it my aim and ambition to raise money for worthwhile charities that help the community. Where the money raised goes directly to the people that need it. This is my third skydive for charity and I've never come across such a fantastic guy such as James Anderson is and his amazing team at Depher. So please donate as much as you can to help me raise funds for such a worthy cause. The skydive will take place at black knights Parachute centre on 30th July",False
" Help feed those in need this Ramadan. ","Leatherhead, South East England, United Kingdom",https://www.gofundme.com/f/help-feed-those-in-need-this-ramadan,2000,544,2022-04-13,2022-03-31,,,18,"2022-04-13 20/2022-04-11 10/2022-04-03 10/2022-04-02 50/2022-04-02 14/2022-04-02 50/2022-04-02 25/2022-04-02 100/2022-04-02 10/2022-04-02 50/2022-04-02 50/2022-04-02 5/2022-04-01 20/2022-04-01 20/2022-04-01 20/2022-04-01 20/2022-04-01 20/2022-04-01 50","Assalaamu Alaykum  it’s that time of year again  it’s time to do yet another food bank donation InshaAllah. Last year we hit £1000 MashAllah  but this year I’m hoping to go a little bit further to £2000 InshaAllah. Given the amount of fact that people are struggling even more this year due to an increase it energy bills and living costs it is becoming even harder for some people  financially. So InshaAllah this year  we will try to ease that. With your kindness and generosity this Ramadan we can hopefully feed over 500 families  InshaAllah beating last years 380 families. May Allah SWT reward you all for your acts of generosity and acts of charity. ",False
" PAYBACK TIME ✊ SIMFIT100 ","Leeds, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/payback-time-simfit100,1000,565,2022-04-10,2022-02-16,,,35,"2022-04-10 20/2022-04-10 10/2022-04-10 10/2022-04-10 10/2022-04-10 20/2022-04-10 20/2022-04-10 20/2022-04-10 10/2022-04-10 10/2022-04-10 20/2022-04-09 20/2022-04-09 15/2022-04-09 15/2022-04-09 10/2022-04-09 20/2022-04-09 10/2022-04-09 10/2022-04-09 20/2022-04-09 20/2022-03-15 10/2022-03-15 10/2022-03-14 30/2022-03-14 10/2022-03-14 20/2022-03-12 20/2022-03-12 25/2022-02-22 20/2022-02-22 10/2022-02-17 20/2022-02-16 10/2022-02-16 20/2022-02-16 20/2022-02-16 20/2022-02-16 20/2022-02-16 10","SIMFIT100 have been a sponsor of Vulnerable Citizen Support C.I.C for around 7/8 months - They have supported us with football kits for our mental health team to equipment to money ❤️ This team are amazing in how they support us !!     Now for SIMFIT100 to undertake the ‘Challenge’ - PAYBACK!!!!! ❤️❤️     Instructors of SIMFIT100 will give ‘CONTROL’ to their clients to give them 5 minutes of pure hell - Anything they can think of - can happen   Are SIMFIT100 up for this challenge………     This will take place:   Sunday 10th April 2022   Temple Newsam  10:15am ❤️    In return this will help VCS carry on with the vital duties they do day to day - it will help provide more food for the food bank - help with fuel costs to cover mental health calls - help with our local mental health classes & equipment to keep them going - ❤️❤️ each week we do around 50-100 food parcels to struggling families and try to assist people who are sleeping rough into suitable accommodation ❤️❤️",False
" Helping a single mother and her son ","Eridge Green, South East England, United Kingdom",https://www.gofundme.com/f/helping-a-lost-single-mother,250,50,2022-04-19,2022-04-17,,,3,"2022-04-19 25/2022-04-19 5/2022-04-18 20","I am writing on behalf of my friend as she wishes to stay anonymous for her story. In 2020 during the peak of covid “P” was living with her son and partner  away from family  friends and any normality. Her relationship soon became a very dangerous environment in which she had to escape to save herself and her son from an alcoholic abuser. This resulted in them both living in a homeless shelter with no money  belongings and miles away from family members. Since then thankfully “p” and her son now have a roof over their head however during the time at the shelter with income affected due to lack of childcare and work she accumulated around £3000 worth of debt which to this day she is still struggling to pay off. She has contacted multiple charities  uc  food banks to receive as much help as she can to make ends meet from month to month however she has exhausted all of her avenues and is very much struggling. She’s just informed me on how she has £27 in the bank until the 9th of may and bills to pay and a hungry toddler to feed. I’m asking for kindness and hope as she’s too embarrassed to reach out  if anyone has any spare change  whether it’s £2 or £10 if they are able to help. She does so much for her son. cares for him 24/7  365 days a year as his father doesn’t wish to be involved  as well as a uni degree as she’s working towards a brighter future for her family. I wish I could help her earn enough to pay off all her debt but for now I just want to see her make the end of the month. X ",False
