Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
"Michael McIntyre wants to video call you!","London, Greater London, United Kingdom",https://uk.gofundme.com/f/michaelMcintyre,58629,-1,,2020-04-01,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"  Hi! It’s Michael McIntyre in lockdown!    I’m trapped in my home and you’re trapped in yours so I've thought of an idea to raise spirits and raise money for a much needed cause.    I’m going to personally video call my fans to cheer them up! Hopefully in between hand washing  watching the news like it’s a disaster movie and diving in to bushes when you see someone walking towards you  I can brighten up your day! All you have to do is make a donation on this GoFundMe page to the amazing charity  The Trussell Trust. Please give as much as you can  but know that I will be trying to video call as many people as I can regardless of how much you donate. When you donate just click the ‘contact’ button at the bottom of this page (under where it says Michael McIntyre  organizer) and give your phone number along with a reason I should video call you and someone will be in touch to arrange a time for me to call. The Trussell Trust supports a network of food banks across the UK to provide emergency food to people in crisis  while working to ensure everyone has enough money to buy their own food. With the outbreak of the coronavirus pandemic  food banks need our help to get food to the people who need it most  more than ever. So please donate whatever you can and hopefully  I’ll be calling you soon! NOW FOR THE LEGAL PART: All funds raised will go directly to the Trussell Trust. You can find out more about the organisation on their website www.trusselltrust.org.I will try to call as many of you as possible but there might not be enough time in the day to speak to everyone who donates.Please note that I can only call you if you click on the ‘contact’ button on this page and send over your phone number. ",False
"Send A Luxury Hamper To Every Tory MP This Xmas","Southend-on-Sea, East of England, United Kingdom",https://uk.gofundme.com/f/hampersfortories,1780,20000,,2020-09-17,,,0,,"The vote to refuse 'free school meals' to British children over the upcoming school holidays showed us that on the whole  MPs from the Conservative Party are not afraid to make major decisions that although unpopular  are also for the greater good of the United Kingdom. We cannot have our hard-earned money being used to 'nationalise children' when the harsh reality is that we have other priorities to fund  such as 'Test and Trace' and renewing Trident.    Therefore  it's time for the British people to shown their gratitude for this valuable reminder that parents have to start taking responsibility for their own children and putting a little aside for emergencies.    I am raising £20 000 to send a luxury Christmas gift hamper to every single Conservative MP this festive season. I want every single one of them to know just how much their efforts have been appreciated in these incredibly worrying times.    Please help me spread some cheer this December to those who must be feeling unloved.    IMPORTANT LEGAL NOTE: I will be handling all of the donated funds personally  and my Santander Mobile Banking app has been playing up a lot since I dropped my iPhone down the toilet last week. The touch screen has well and truly had it  and for some reason every time I try to move money into the dedicated account I have set up for this hamper appeal  the money actually ends up going to the Essex Coronavirus Action Urgent Food Bank Appeal - a fundraiser that provides micro grants to food banks all over the county of Essex to stock up on essential products or meet unavoidable running costs.    Naturally I will be able to fix this when I get a new iPhone  but I am having a bugger of a time deciding between the Rose Gold iPhone 12 Pro Max and the Space Grey iPhone 12 Pro Max and no matter what I do  I simply can't make my mind up. Massive decisions like this cannot be rushed however ...    ADDITIONAL NOTE: With the news today that Essex County Council will also be boosting funding for local food banks (this is a fantastic development)  I will also be reaching out to organisations in this area to see if they have any urgent funding needs.    My Blog",False
"Xpress Radio Specialist Takeover 2020","Cardiff Union Services Ltd, Wales, United Kingdom",https://uk.gofundme.com/f/xpress-radio-specialist-takeover-2020,650,500,,2020-01-25,,,0,,"It has long been tradition for Xpress Radio to hold an annually held specialist takeover to raise funds for local charities. In this year's takeover  Xpress Radio will be providing 24 hour live coverage of shows from music programmes to unmissable entertainment.     Our specialist broadcast starts at 3pm on Saturday 1st February and ends 3pm on 2nd February. Throughout this period  our presenters and producers will be working around the clock  taking over our normal weekend schedule all in the name of raising money for charity  and ensuring the station is able to continue the work it does  allowing students to practically build their skills and experience in the radio and media industry.      100% of all proceeds before the total of £500 will be donated to the Cardiff Food Bank Charity. After this amount  50% of every donation will go towards Xpress Radio  a non-profit student radio station  part of the Cardiff University Students' Union guild of societies and Cardiff Student Media.",False
"The Lambeth Food Bank Fund","London, Greater London, United Kingdom",https://uk.gofundme.com/f/the-lambeth-food-bank-fund,73498,80000,,2020-03-20,,,0,,"The world is experiencing an unprecedented challenge. It is important  in this moment  that we cooperate and do what we can to support one another. The Lambeth Food Bank Fund has launched to support our community and the organisations that can have the most impact on those that are most vulnerable.    The Lambeth Food Bank Fund     Right now we are all feeling scared and vulnerable  but there are many among us that will need more support  from food banks to food delivery and far beyond.    In Lambeth we have a history of looking after one another - and that spirit has never been more important than right now.     So we are creating something called the Lambeth Food Bank Fund and its aim is to ensure those in need at this difficult time are being looked after.     Our borough has some exceptional people and projects that help individuals in need every day. The Lambeth Food Bank Fund has been set up for us to help ensure they have the funding in place to continue their work at this incredibly difficult time.     Please  even during these unprecedented circumstances  we ask that - if possible - you donate and contribute to the common good of Lambeth. We know that so much is uncertain for us all right now but the smallest contribution can make the biggest difference.      * * *    FAQs    What can I do?    Right now because of the severity of the situation  the single most important thing we can do is try to raise money  so that we are able to help the most vulnerable.     Where will the funds go?    The funds will go to the most vulnerable people during this crisis. They will be administered by Holy Trinity Clapham and delivered to food banks across the borough - including Brixton & Norwood  Clapham Park  Vauxhall  and Waterloo - that can help the most vulnerable.     If I do donate will it go to those who need it?     Yes  your donation will go to those who need it. Unlike other platforms  GoFundMe do not charge a fundraising fee although they take a small transaction fee. See here for more details. You do not need to leave a 'tip' if you don't want to.     I want to help my local community  will this money be spent in Lambeth?     Yes.     Where can I find accurate information about covid-19?     For general information on CV-19  please visit the Government website: https://www.gov.uk/government/topical-events/coronavirus-covid-19-uk-government-response    Lambeth Council have some useful information: https://www.lambeth.gov.uk/elections-and-council/about-lambeth/coronavirus-covid-19-information    If you are worried about your own health  call the NHS on 111.",False
"'KARIS WITH LOVE' FREE SCHOOL MEALS","Beckenham, Greater London, United Kingdom",https://uk.gofundme.com/f/free-school-meals-for-families-in-need,1984,-1,,2020-10-27,,,0,,"***UPDATE***    THANK YOU SO MUCH EVERYONE FOR ALL OF YOUR KIND DONATIONS. I'm closing donations now as we have raised more than I could ever imagine - Im so grateful as I've never raised money for anything in my life and I feel so lucky to be able to help during this time.    We have completely smashed the target and have been able to widen the catchment area and feed families  in need all over London. I am in talks about how I can make this an on going thing so stay posted on my instagram page for updates. I will be ploughing through as many meals as I possibly can for the remainder of the week and splitting the remaining donations over helping more families with supermarket vouchers and local food bank donations.    THANK YOU!!    _____________________________________    Hey! My name is Karis and I run a plant based meal prep business based in South London.     We are currently facing an extremely sad & difficult time where many families across the country won’t be able to feed their children during this half term.    I posted on my instagram that I will be cooking home made  plant based  tasty & nutritious meals this week to deliver to those in need but I have had an overwhelming response from those who do need help and so many of you have asked to donate.     So  this go fund me page is to get more money for extra ingredients to cater for everyone who has reached out & widen the catchment area from just Croydon & Beckenham to the whole of London.    It’s so wonderful to see communities come together to help support those in need during this time.    Food is everything to me. Food is life. Food is love. But it is not a luxury and no child should go hungry.    The more we make the more can help.    Thank you for all of the shares & support on this so far.    With Love  Karis x ",False
"30 Day Cuilcagh Mountain Challenge","Killykeeghan, Northern Ireland, United Kingdom",https://uk.gofundme.com/f/26hvlwkk9c,1150,1000,,2020-10-30,,,0,,"Hi guys  I can't actually believe I am posting this. I don't know if I am completely mad or have just lost the plot but I am going to do a MASSIVE challenge where I hope to raise some money for local charities/foundations .     Any money raised will be shared between the following 3 charities/foundations -   1 -Action Mental Health New Horizons Enniskillen.   2 - Shane Mulholland Foundation.   3 - Enniskillen food bank.     The challenge itself is to walk Cuilcaigh mountains stairway to heaven  every day in November  this is 15km up and down every day for 30 days  450km total.     As we know at the minute the weather is getting worse so this is going to be a serious challenge  The biggest challenge of my life I'm sure but one I am ready to tackle head on.   Along the way I hope to have some friends  family and anyone else who wants to help me join my walk on a day when available as this will be as mentally challenging as it will be physical. I intend to do a video post of this every day at three stages  The start in the car park  The top of the summit and the bottom when I get back down. (I might not have signal in all parts but will get the videos up).     I am not going to lie i am nervous and apprehensive about doing this as I know this is a massive task but again this is something I have been thinking of doing for a long time and I am ready for it.",False
"Food Banks Across the UK","Wigan, North West England, United Kingdom",https://uk.gofundme.com/f/food-banks-across-the-uk,230,1000,,2020-10-22,,,0,,"We would like to help others in this crazy time  as many have lost jobs and income its becoming colder and harder to stay warm. We want to help ease the stress of those struggling by proving food banks with as much food as we can  by giving out some of our props ",False
"COV- aid 19","Kenilworth, West Midlands, United Kingdom",https://uk.gofundme.com/f/cov-aid-19,1225,1000,,2020-05-06,,,0,,"Putting on a Gig on Saturday 30th May  Raising money for Local and vocal for local food banks and UHCW! If you want to get involved drop me a message! Let’s try and raise some money for Cov and help those in need!!!   So far on the bill we have:  Kyle McGurk   Faye Dolan  Josh Hale  Kane Collins  Ross Darby  Christy Pepper  Danny from Mvnich   Many more to come...  Drop me a message if you’re interested",False
"Save The Sun Newspaper","Southend-on-Sea, East of England, United Kingdom",https://uk.gofundme.com/f/save-the-sun-newspaper,18738,20000,,2020-04-11,,,0,,"THANKS FOR VISITING MY FUNDRAISING CAMPAIGN TO SAVE THE SUN NEWSPAPER!    During this Coronavirus crisis  Britain's most-loved newspaper is under threat. Declining sales and advertising revenue could consign this shining example of journalistic standards to a terrible fate  and it's time that we stood up and took a stand.    The Sun was already suffering a financial crisis before Covid-19 even took hold ...      However  things have now become desperate for this historically blemish-free institution of British publishing with their very own Dan Wootton encouraging everyone to buy a copy and keep them in business - it does cost less than a cup of coffee after all.      Instead of just merely buying a copy to keep them in business  I want to take things further.    I will take every penny that is donated to this fundraising campaign and every day I will use it to buy copies of The Sun from my local store  and then deliver them absolutely free of charge to homes in my local area in South Essex. If other people follow my lead and set up their own fundraising campaigns  we could send their circulation through the roof in a matter of days!    IMPORTANT NOTE: During the lockdown  it's taking ages to get my kids to bed every night  and usually by the time they have settled down my local Sainsbury's is closed. If this happens on any particular day  I will donate the money to local food banks instead.    ANOTHER IMPORTANT NOTE: I don't like rain  so if it is raining on any particular day I will donate any money collected to local food banks instead.    YET ANOTHER IMPORTANT NOTE: I don't like sun or wind either  so if it is sunny or windy on any particular day I will donate any money collected to local food banks instead. I'm not fond of clouds either.    ONE FURTHER IMPORTANT NOTE: We should all be staying at home as much as possible at the moment to protect the NHS and save lives  and so if I think that there may be any people out and about in the United Kingdom at the same time as me on any particular day I will remain at home and donate any money collected to local food banks instead.    ONE MORE VERY IMPORTANT NOTE: If you actually think that I am giving that sh*t rag a single penny of this instead of donating the money to local food banks  you're very much mistaken.    Any questions? I'm on Facebook at Man Behaving Dadly - https://facebook.com/manbehavingdadly    ONE ABSOLUTELY VITAL NOTE THAT HAS BEEN DRAFTED IN CONJUNCTION WITH MY ADVISORS: After some discussions with all relevant parties  it has been decided that all monies raised will be donated to the Essex Coronavirus Action Urgent Food Bank Appeal. Essex Coronavirus Action is a joint project between local government and a group of prominent Facebook admins in the county  including myself - it has also been 'blue ticked' by Facebook. A bank account is currently being maintained 'in trust' by the local authority's partner EALC  and any food bank in the county is being invited to apply for micro-grants as and when they need them - I will be paying all donations into that account as and when they clear in my bank account. They also have their own GoFundMe page running under the 'Essex Coronavirus Action' banner.",False
"COVID19- Lets Dance For Charity.","Luton, East of England, United Kingdom",https://uk.gofundme.com/f/covid19-lets-dance-for-charity,660,250,,2020-04-20,"Sufra NW London","Registered nonprofitDonations eligible for Gift Aid.",0,,"Hey guys Im Craig a Dance Teacher from just above London. In this awful time I thought I could use my own craft to help and support people who are not as fortunate as myself  and need it the most. It’s a tough time for everyone but there are people in far off worse situations than most and I just want to do my own bit to help. Ive decided on Monday 27th at 3:00PM I will be doing my first online live LYRICAL/SLOWDANCE class on Instagram! All the money raised from this will be going directly to this incredible CHARITY SUFRA.    Sufra is an amazing food bank and kitchen based in North London. They have launched an emergency appeal during this awful time  £10 will provide an emergency food parcel to someone in desperate need  and £50 will feed and supply a family of four. The parcel includes nappies  milk and nutritious food for babies everything you would need if you didn’t have enough money/can’t go out because of medical conditions to get food and supply’s.     If you wish to attend PLEASE make a donation above £2 in the go fund me link below. (You can be as generous as you wish) You do not have to participate in the class to donate!     If you are dancing with me please Leave the Instagram account you will be using in the comments description when leaving a donation and follow @ch_workshops private account to be accepted to participate. I look forward to dancing with you all & raising some dollar for a good cause. Thank you so much! ",False
